hitid	uid	pc
1	4	PartialChain(chain=[318, 349, 259, 22, 163, 231, 279, 174, 3, 283, 330, 420, 131], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	7	PartialChain(chain=[279, 259, 131, 420, 318, 22, 283], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	11	PartialChain(chain=[259, 330, 349, 420, 231, 112, 283, 131, 22, 3], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	14	PartialChain(chain=[283, 259, 130, 231, 163, 279, 112, 70, 349, 318, 131, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	19	PartialChain(chain=[174, 420, 131, 163, 3, 283, 216, 259, 318, 130, 22, 279, 330, 349, 112], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	27	PartialChain(chain=[283, 420, 318, 163, 259, 3, 130, 22, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	28	PartialChain(chain=[131, 330, 420, 231, 130, 22, 318, 3, 279, 174], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	29	PartialChain(chain=[131, 420, 318, 231, 330, 174, 112, 259, 163, 22, 216], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	34	PartialChain(chain=[131, 283, 22, 330, 3, 279, 174, 112, 163, 259], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	37	PartialChain(chain=[349, 231, 216, 330, 259, 130, 70, 279, 3, 131, 283, 163], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	39	PartialChain(chain=[317, 3, 283, 130, 70, 131, 163, 22, 174, 318, 259, 420, 330, 279, 112], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	48	PartialChain(chain=[283, 130, 279, 259, 258, 70, 216, 330, 112, 163, 174, 3], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	51	PartialChain(chain=[283, 3, 279, 259, 163, 420, 318, 131, 130], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	53	PartialChain(chain=[174, 283, 330, 420], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	54	PartialChain(chain=[131, 330, 283, 279, 420, 216, 259, 231, 130, 112, 70, 22, 174, 349, 317, 163, 318, 3], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	56	PartialChain(chain=[22, 174, 259, 130, 258, 317, 318, 283, 420, 163, 231, 449, 330, 349, 70, 131], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	58	PartialChain(chain=[279, 349, 174, 131, 283], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	60	PartialChain(chain=[420, 174, 318, 3, 163, 259, 130], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	61	PartialChain(chain=[130, 231, 259, 420, 283, 174, 22, 349, 330], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	67	PartialChain(chain=[330, 112, 174, 22], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	71	PartialChain(chain=[112, 283, 231, 330, 279, 174, 163, 131], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	74	PartialChain(chain=[279, 420, 131, 3, 258, 216, 163, 22, 130, 349, 174, 318], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
1	80	PartialChain(chain=[259, 163, 279, 420, 318, 22, 70, 130, 174, 112, 283, 330], item_set={449, 130, 259, 3, 131, 258, 70, 330, 22, 279, 216, 283, 349, 163, 420, 231, 174, 112, 317, 318})
