hit	m	n	rule	winners	t_sec
1	20	100	Plurality	(283,)	0.005291938781738281
1	20	100	2-approval	(283,)	0.00600433349609375
1	20	100	Borda	(283,)	0.015043973922729492
2	20	100	Plurality	(161,)	0.005320549011230469
2	20	100	2-approval	(161,)	0.006319999694824219
2	20	100	Borda	(161,)	0.014456748962402344
3	20	100	Plurality	(349,)	0.0058441162109375
3	20	100	2-approval	(349,)	0.006799221038818359
3	20	100	Borda	(349,)	0.017103195190429688
4	20	100	Plurality	(94,)	0.006026744842529297
4	20	100	2-approval	(94,)	0.007191658020019531
4	20	100	Borda	(94,)	0.016381263732910156
5	20	100	Plurality	(304,)	0.0058362483978271484
5	20	100	2-approval	(304,)	0.0071604251861572266
5	20	100	Borda	(401,)	0.017330169677734375
6	20	100	Plurality	(186,)	0.005349874496459961
6	20	100	2-approval	(186,)	0.00645899772644043
6	20	100	Borda	(394,)	0.01588726043701172
7	20	100	Plurality	(304,)	0.005651235580444336
7	20	100	2-approval	(347,)	0.006917238235473633
7	20	100	Borda	(347,)	0.017388343811035156
8	20	100	Plurality	(401,)	0.006078958511352539
8	20	100	2-approval	(401,)	0.007302522659301758
8	20	100	Borda	(401,)	0.015637636184692383
9	20	100	Plurality	(46,)	0.006098747253417969
9	20	100	2-approval	(46,)	0.007386684417724609
9	20	100	Borda	(284,)	0.015902042388916016
10	20	100	Plurality	(161,)	0.0057485103607177734
10	20	100	2-approval	(161,)	0.006769657135009766
10	20	100	Borda	(161,)	0.015799522399902344
11	20	100	Plurality	(283,)	0.005105495452880859
11	20	100	2-approval	(283,)	0.0061800479888916016
11	20	100	Borda	(283,)	0.01596832275390625
12	20	100	Plurality	(131,)	0.0061833858489990234
12	20	100	2-approval	(131,)	0.007310152053833008
12	20	100	Borda	(131,)	0.01535177230834961
13	20	100	Plurality	(83,)	0.0065212249755859375
13	20	100	2-approval	(83,)	0.007666826248168945
13	20	100	Borda	(98,)	0.013031005859375
14	20	100	Plurality	(433,)	0.005703926086425781
14	20	100	2-approval	(433,)	0.00690913200378418
14	20	100	Borda	(330,)	0.015588045120239258
15	18	86	Plurality	(283,)	0.004858970642089844
15	18	86	2-approval	(283,)	0.00561833381652832
15	18	86	Borda	(283,)	0.010352849960327148
16	20	100	Plurality	(36,)	0.006011962890625
16	20	100	2-approval	(36,)	0.0070705413818359375
16	20	100	Borda	(36,)	0.014289379119873047
