hitid,uid,ranking
1,4,"[318, 349, 259, 22, 163, 231, 279, 174, 3, 283, 330, 420, 131]"
1,7,"[279, 259, 131, 420, 318, 22, 283]"
1,11,"[259, 330, 349, 420, 231, 112, 283, 131, 22, 3]"
1,14,"[283, 259, 130, 231, 163, 279, 112, 70, 349, 318, 131, 216]"
1,19,"[174, 420, 131, 163, 3, 283, 216, 259, 318, 130, 22, 279, 330, 349, 112]"
1,27,"[283, 420, 318, 163, 259, 3, 130, 22, 174]"
1,28,"[131, 330, 420, 231, 130, 22, 318, 3, 279, 174]"
1,29,"[131, 420, 318, 231, 330, 174, 112, 259, 163, 22, 216]"
1,34,"[131, 283, 22, 330, 3, 279, 174, 112, 163, 259]"
1,37,"[349, 231, 216, 330, 259, 130, 70, 279, 3, 131, 283, 163]"
1,39,"[317, 3, 283, 130, 70, 131, 163, 22, 174, 318, 259, 420, 330, 279, 112]"
1,48,"[283, 130, 279, 259, 258, 70, 216, 330, 112, 163, 174, 3]"
1,51,"[283, 3, 279, 259, 163, 420, 318, 131, 130]"
1,53,"[174, 283, 330, 420]"
1,54,"[131, 330, 283, 279, 420, 216, 259, 231, 130, 112, 70, 22, 174, 349, 317, 163, 318, 3]"
1,56,"[22, 174, 259, 130, 258, 317, 318, 283, 420, 163, 231, 449, 330, 349, 70, 131]"
1,58,"[279, 349, 174, 131, 283]"
1,60,"[420, 174, 318, 3, 163, 259, 130]"
1,61,"[130, 231, 259, 420, 283, 174, 22, 349, 330]"
1,67,"[330, 112, 174, 22]"
1,71,"[112, 283, 231, 330, 279, 174, 163, 131]"
1,74,"[279, 420, 131, 3, 258, 216, 163, 22, 130, 349, 174, 318]"
1,80,"[259, 163, 279, 420, 318, 22, 70, 130, 174, 112, 283, 330]"
1,81,"[279, 130, 259, 174, 420, 131, 231, 330, 70, 22, 163, 318]"
1,83,"[330, 258, 131, 231, 259, 283, 449, 216, 3, 163, 112, 420, 318, 130, 22, 349, 70, 174]"
1,84,"[131, 216, 259, 163, 231, 112, 349, 420, 318, 258, 130, 3, 330, 279, 174, 283]"
1,85,"[330, 112, 231, 449, 131, 216, 130, 420, 163, 259, 70, 318, 3, 279, 317, 174, 22]"
1,90,"[349, 283, 258, 130, 231, 317, 70, 174, 279, 449, 131, 112, 420, 216, 259, 330, 3, 318, 22, 163]"
1,95,"[420, 22, 131, 318, 130, 70, 174]"
1,98,"[174, 259, 349, 163, 318, 420, 70, 130, 330, 22]"
1,102,"[3, 283, 216, 349, 259, 163, 231, 174]"
