uid	pp
User 1	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13'], item_to_bucket={0: 'B13', 1: 'B13', 2: 'B2', 3: 'B1', 4: 'B0', 5: 'B3', 6: 'B0', 7: 'B5', 8: 'B6', 9: 'B4', 10: 'B9', 11: 'B10', 12: 'B9', 13: 'B8', 14: 'B7', 15: 'B11', 16: 'B12', 17: 'B13', 18: 'B12', 19: 'B13', 20: 'B13', 21: 'B13', 22: 'B13', 23: 'B13'})
User 2	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13'], item_to_bucket={0: 'B13', 1: 'B13', 2: 'B2', 3: 'B1', 4: 'B0', 5: 'B3', 6: 'B0', 7: 'B5', 8: 'B6', 9: 'B4', 10: 'B9', 11: 'B10', 12: 'B9', 13: 'B8', 14: 'B7', 15: 'B11', 16: 'B12', 17: 'B13', 18: 'B12', 19: 'B13', 20: 'B13', 21: 'B13', 22: 'B13', 23: 'B13'})
User 3	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11'], item_to_bucket={0: 'B11', 1: 'B11', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B2', 6: 'B0', 7: 'B3', 8: 'B4', 9: 'B3', 10: 'B7', 11: 'B8', 12: 'B7', 13: 'B6', 14: 'B5', 15: 'B9', 16: 'B10', 17: 'B11', 18: 'B10', 19: 'B11', 20: 'B11', 21: 'B11', 22: 'B11', 23: 'B11'})
User 4	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13'], item_to_bucket={0: 'B13', 1: 'B12', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B2', 6: 'B0', 7: 'B4', 8: 'B5', 9: 'B3', 10: 'B7', 11: 'B10', 12: 'B9', 13: 'B8', 14: 'B6', 15: 'B11', 16: 'B12', 17: 'B13', 18: 'B12', 19: 'B13', 20: 'B13', 21: 'B13', 22: 'B13', 23: 'B13'})
User 5	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11'], item_to_bucket={0: 'B11', 1: 'B11', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B2', 6: 'B0', 7: 'B3', 8: 'B4', 9: 'B3', 10: 'B7', 11: 'B8', 12: 'B7', 13: 'B6', 14: 'B5', 15: 'B9', 16: 'B10', 17: 'B11', 18: 'B10', 19: 'B11', 20: 'B11', 21: 'B11', 22: 'B11', 23: 'B11'})
User 6	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12'], item_to_bucket={0: 'B12', 1: 'B12', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B2', 6: 'B0', 7: 'B4', 8: 'B5', 9: 'B3', 10: 'B8', 11: 'B9', 12: 'B9', 13: 'B7', 14: 'B6', 15: 'B10', 16: 'B11', 17: 'B12', 18: 'B11', 19: 'B12', 20: 'B12', 21: 'B12', 22: 'B12', 23: 'B12'})
User 7	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13', 'B14'], item_to_bucket={0: 'B14', 1: 'B0', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B3', 6: 'B2', 7: 'B5', 8: 'B6', 9: 'B4', 10: 'B8', 11: 'B11', 12: 'B10', 13: 'B9', 14: 'B7', 15: 'B12', 16: 'B13', 17: 'B14', 18: 'B13', 19: 'B14', 20: 'B14', 21: 'B14', 22: 'B14', 23: 'B14'})
User 8	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13'], item_to_bucket={0: 'B13', 1: 'B0', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B2', 6: 'B0', 7: 'B4', 8: 'B5', 9: 'B3', 10: 'B8', 11: 'B10', 12: 'B9', 13: 'B7', 14: 'B6', 15: 'B11', 16: 'B12', 17: 'B13', 18: 'B12', 19: 'B13', 20: 'B13', 21: 'B13', 22: 'B13', 23: 'B13'})
User 9	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13', 'B14'], item_to_bucket={0: 'B14', 1: 'B0', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B3', 6: 'B2', 7: 'B5', 8: 'B6', 9: 'B4', 10: 'B7', 11: 'B10', 12: 'B9', 13: 'B8', 14: 'B11', 15: 'B12', 16: 'B14', 17: 'B14', 18: 'B13', 19: 'B14', 20: 'B14', 21: 'B14', 22: 'B14', 23: 'B14'})
User 10	PartitionedPreferences(bucket_order=['B0', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11'], item_to_bucket={0: 'B11', 1: 'B0', 2: 'B1', 3: 'B1', 4: 'B0', 5: 'B2', 6: 'B0', 7: 'B4', 8: 'B5', 9: 'B3', 10: 'B7', 11: 'B8', 12: 'B8', 13: 'B6', 14: 'B9', 15: 'B10', 16: 'B11', 17: 'B11', 18: 'B11', 19: 'B11', 20: 'B11', 21: 'B11', 22: 'B11', 23: 'B11'})
