m	n	phi	num_buckets	batch	rule	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	1000	0.5	2	1	Plurality	(0,)	386.05373872857666	254.05373872857984	201	0.012472391128540039	0.002518892288208008	0.11216616630554199	0.14478111267089844
10	1000	0.5	2	1	2-approval	(0,)	519.4383907893889	363.43839078938623	239	0.012171745300292969	0.002274751663208008	0.10669589042663574	0.13747596740722656
10	1000	0.5	2	1	Borda	(0,)	6483.865213243067	5660.86521324306	202	0.01220560073852539	0.0025548934936523438	0.26095151901245117	0.30434250831604004
10	1000	0.1	2	1	Plurality	(0,)	868.3414796138147	334.34147961381325	598	0.012298107147216797	0.0012712478637695312	0.06263375282287598	0.08560800552368164
10	1000	0.1	2	1	2-approval	(0,)	900.7829519306404	451.7829519306317	516	0.013293743133544922	0.001392364501953125	0.06988906860351562	0.09467244148254395
10	1000	0.1	2	1	Borda	(0,)	8473.073346484096	6142.073346484076	582	0.012340068817138672	0.0013222694396972656	0.12650752067565918	0.15430140495300293
10	1000	0.5	2	4	Plurality	(0,)	417.3887338703764	251.38873387038123	250	0.012377500534057617	0.0023102760314941406	0.10628914833068848	0.13774943351745605
10	1000	0.5	2	4	2-approval	(0,)	549.9746035709582	359.97460357095576	299	0.012359142303466797	0.002103567123413086	0.10309481620788574	0.1329972743988037
10	1000	0.5	2	4	Borda	(0,)	6674.7490680220635	5630.749068022059	243	0.012341976165771484	0.002441883087158203	0.2561759948730469	0.29885053634643555
10	1000	0.1	2	4	Plurality	(0,)	871.4058469461115	323.4058469461097	598	0.012299060821533203	0.0012836456298828125	0.06225848197937012	0.08533072471618652
10	1000	0.1	2	4	2-approval	(0,)	902.8249386807634	450.8249386807559	508	0.012322664260864258	0.0013897418975830078	0.06850290298461914	0.0922095775604248
10	1000	0.1	2	4	Borda	(0,)	8511.299268233042	6216.299268233019	576	0.012404441833496094	0.0013082027435302734	0.12284374237060547	0.1502857208251953
10	1000	0.9	2	2	Plurality	(0,)	131.6544615008755	122.65446150087308	14	0.012665748596191406	0.0031883716583251953	0.1572437286376953	0.1973869800567627
10	1000	0.9	2	2	2-approval	(0,)	243.0730614549637	231.07306145496145	21	0.012249469757080078	0.003039836883544922	0.16088223457336426	0.20010042190551758
10	1000	0.9	2	2	Borda	(0,)	4812.888440960757	4744.888440960809	16	0.012481927871704102	0.0033888816833496094	0.3663308620452881	0.4232208728790283
10	1000	0.5	2	7	Plurality	(0,)	423.48647720274505	249.4864772027492	269	0.012320280075073242	0.002279520034790039	0.10937333106994629	0.14063024520874023
10	1000	0.5	2	7	2-approval	(0,)	555.6290273702555	353.6290273702527	329	0.012305021286010742	0.0020682811737060547	0.10296392440795898	0.1327219009399414
10	1000	0.5	2	7	Borda	(0,)	6683.491169221751	5551.491169221743	282	0.012252569198608398	0.0023317337036132812	0.2504308223724365	0.292433500289917
10	1000	0.1	2	7	Plurality	(0,)	872.4898398564309	324.4898398564306	614	0.012472391128540039	0.0012345314025878906	0.057930707931518555	0.08069467544555664
10	1000	0.1	2	7	2-approval	(0,)	904.0071893810166	436.007189381009	536	0.012412548065185547	0.0013287067413330078	0.06398630142211914	0.08745193481445312
10	1000	0.1	2	7	Borda	(0,)	8496.709956283908	6140.709956283883	605	0.012382984161376953	0.0012600421905517578	0.1213066577911377	0.14863824844360352
