m	n	phi	pmax	batch	rule	mpw	t_mpw_s	mew	t_mew_s
5	1	0.5	0.1	6	Plurality	{2}	0.0015931129455566406	(2,)	0.0010764598846435547
5	1	0.5	0.1	6	2-approval	{2}	0.0013954639434814453	(2,)	0.0007636547088623047
5	1	0.5	0.1	6	Borda	{2}	0.0014345645904541016	(2,)	0.0007836818695068359
5	1	0.5	0.1	8	Plurality	{2}	0.00032639503479003906	(2,)	0.0020117759704589844
5	1	0.5	0.1	8	2-approval	{2}	0.0003266334533691406	(2,)	0.0026514530181884766
5	1	0.5	0.1	8	Borda	{2}	0.00032973289489746094	(2,)	0.003317117691040039
5	1	0.5	0.1	1	Plurality	{1}	0.001336812973022461	(1,)	0.0008397102355957031
5	1	0.5	0.1	1	2-approval	{1}	0.0013570785522460938	(1,)	0.0009336471557617188
5	1	0.5	0.1	1	Borda	{1}	0.0014328956604003906	(1,)	0.0009093284606933594
5	1	0.5	0.1	3	Plurality	{0}	0.0013554096221923828	(0,)	0.0009160041809082031
5	1	0.5	0.1	3	2-approval	{0}	0.001361846923828125	(0,)	0.0009636878967285156
5	1	0.5	0.1	3	Borda	{0}	0.0014164447784423828	(0,)	0.0009794235229492188
5	1	0.5	0.1	5	Plurality	{1}	0.0013244152069091797	(1,)	0.0007653236389160156
5	1	0.5	0.1	5	2-approval	{1}	0.0013637542724609375	(1,)	0.0008020401000976562
5	1	0.5	0.1	5	Borda	{1}	0.00141143798828125	(1,)	0.0008206367492675781
5	1	0.5	0.1	7	Plurality	{2}	0.0013267993927001953	(2,)	0.0009076595306396484
5	1	0.5	0.1	7	2-approval	{2}	0.0013692378997802734	(2,)	0.0007884502410888672
5	1	0.5	0.1	7	Borda	{2}	0.0014340877532958984	(2,)	0.0008151531219482422
5	1	0.5	0.1	0	Plurality	{0}	0.001348733901977539	(0,)	0.0007998943328857422
5	1	0.5	0.1	0	2-approval	{0}	0.0013408660888671875	(0,)	0.0008406639099121094
5	1	0.5	0.1	0	Borda	{0}	0.0013990402221679688	(0,)	0.0008535385131835938
5	1	0.5	0.1	9	Plurality	{1}	0.0013127326965332031	(1,)	0.00043201446533203125
5	1	0.5	0.1	9	2-approval	{1}	0.0013318061828613281	(1,)	0.0007936954498291016
5	1	0.5	0.1	9	Borda	{1}	0.0013878345489501953	(1,)	0.0008528232574462891
5	1	0.5	0.1	2	Plurality	{0}	0.0013287067413330078	(0,)	0.0008792877197265625
5	1	0.5	0.1	2	2-approval	{0}	0.0013298988342285156	(0,)	0.0009100437164306641
5	1	0.5	0.1	2	Borda	{0}	0.0013797283172607422	(0,)	0.0009350776672363281
5	1	0.5	0.1	4	Plurality	{0}	0.0006320476531982422	(0,)	0.0016694068908691406
5	1	0.5	0.1	4	2-approval	{0}	0.0006279945373535156	(0,)	0.0017099380493164062
5	1	0.5	0.1	4	Borda	{0}	0.0006430149078369141	(0,)	0.0023927688598632812
5	2	0.5	0.1	7	Plurality	{0}	0.004763364791870117	(0,)	0.0017986297607421875
5	2	0.5	0.1	7	2-approval	{0}	0.0072367191314697266	(0,)	0.002332925796508789
5	2	0.5	0.1	7	Borda	{0}	0.05367708206176758	(0,)	0.002464771270751953
5	2	0.5	0.1	0	Plurality	{0}	0.0015535354614257812	(0,)	0.0005214214324951172
5	2	0.5	0.1	0	2-approval	{0, 2}	0.0017561912536621094	(0, 2)	0.0008826255798339844
5	2	0.5	0.1	0	Borda	{0}	0.005019187927246094	(0,)	0.0005497932434082031
5	2	0.5	0.1	9	Plurality	{2}	0.004077911376953125	(2,)	0.0024843215942382812
5	2	0.5	0.1	9	2-approval	{2}	0.006166219711303711	(2,)	0.004597663879394531
5	2	0.5	0.1	9	Borda	{2}	0.04416966438293457	(2,)	0.0032644271850585938
5	2	0.5	0.1	2	Plurality	{0}	0.0063610076904296875	(0,)	0.0010151863098144531
5	2	0.5	0.1	2	2-approval	{0}	0.010286092758178711	(0,)	0.0018451213836669922
5	2	0.5	0.1	2	Borda	{0}	0.08083200454711914	(0,)	0.0019485950469970703
5	2	0.5	0.1	4	Plurality	{2}	0.0040361881256103516	(2,)	0.0020341873168945312
5	2	0.5	0.1	4	2-approval	{2}	0.006194114685058594	(2,)	0.002920389175415039
5	2	0.5	0.1	4	Borda	{2}	0.0734715461730957	(2,)	0.003155946731567383
5	2	0.5	0.1	6	Plurality	{1}	0.004706859588623047	(1,)	0.0014824867248535156
5	2	0.5	0.1	6	2-approval	{1}	0.007328987121582031	(1,)	0.0023713111877441406
5	2	0.5	0.1	6	Borda	{1}	0.05321335792541504	(1,)	0.0025141239166259766
5	2	0.5	0.1	8	Plurality	{2}	0.0063555240631103516	(2,)	0.000812530517578125
5	2	0.5	0.1	8	2-approval	{2}	0.01029062271118164	(2,)	0.0014886856079101562
5	2	0.5	0.1	8	Borda	{2}	0.07949423789978027	(2,)	0.0015742778778076172
5	2	0.5	0.1	1	Plurality	{0}	0.00600743293762207	(0,)	0.0018768310546875
5	2	0.5	0.1	1	2-approval	{0}	0.00862264633178711	(0,)	0.0019109249114990234
5	2	0.5	0.1	1	Borda	{0}	0.05323004722595215	(0,)	0.002435922622680664
5	2	0.5	0.1	3	Plurality	{2, 4}	0.00653529167175293	(2, 4)	0.00159454345703125
5	2	0.5	0.1	3	2-approval	{2, 4}	0.010243892669677734	(2, 4)	0.0016818046569824219
5	2	0.5	0.1	3	Borda	{2, 4}	0.07976651191711426	(2, 4)	0.0019478797912597656
5	2	0.5	0.1	5	Plurality	{2, 4}	0.006509304046630859	(0, 1, 2, 3, 4)	0.0010993480682373047
5	2	0.5	0.1	5	2-approval	{0, 1, 3}	0.010228872299194336	(0, 1, 2, 3, 4)	0.0014286041259765625
5	2	0.5	0.1	5	Borda	{0, 1, 3}	0.07942581176757812	(0, 1, 2, 3, 4)	0.0015408992767333984
3	5	0.5	0.1	4	Plurality	{1}	0.0014882087707519531	(1,)	0.0021224021911621094
3	5	0.5	0.1	4	2-approval	{1}	0.0017168521881103516	(1,)	0.00103759765625
3	5	0.5	0.1	4	Borda	{1}	0.00418400764465332	(1,)	0.0020122528076171875
5	3	0.5	0.1	0	Plurality	{4}	0.016039371490478516	(4,)	0.002209186553955078
5	3	0.5	0.1	0	2-approval	{4}	0.03886103630065918	(4,)	0.002542734146118164
5	3	0.5	0.1	0	Borda	{4}	1.463958501815796	(4,)	0.0032892227172851562
5	3	0.5	0.1	9	Plurality	{1}	0.022858381271362305	(1,)	0.0025513172149658203
5	3	0.5	0.1	9	2-approval	{1}	0.05144929885864258	(1,)	0.0024902820587158203
5	3	0.5	0.1	9	Borda	{1}	1.9254553318023682	(1,)	0.0025796890258789062
3	5	0.5	0.1	6	Plurality	{0}	0.0012431144714355469	(0,)	0.0016939640045166016
3	5	0.5	0.1	6	2-approval	{0}	0.001802206039428711	(0,)	0.0010061264038085938
3	5	0.5	0.1	6	Borda	{0}	0.003918647766113281	(0,)	0.0021708011627197266
5	3	0.5	0.1	2	Plurality	{0}	0.013186216354370117	(0,)	0.002573728561401367
5	3	0.5	0.1	2	2-approval	{0}	0.030943632125854492	(0,)	0.0033388137817382812
5	3	0.5	0.1	2	Borda	{0}	1.0809674263000488	(0,)	0.003755331039428711
5	3	0.5	0.1	4	Plurality	{0}	0.01194000244140625	(0,)	0.0019767284393310547
5	3	0.5	0.1	4	2-approval	{0}	0.024883031845092773	(0,)	0.002346038818359375
5	3	0.5	0.1	4	Borda	{0}	0.7861073017120361	(0,)	0.003401041030883789
5	3	0.5	0.1	6	Plurality	{1}	0.010534048080444336	(1,)	0.003716707229614258
5	3	0.5	0.1	6	2-approval	{1}	0.021517276763916016	(1,)	0.004909515380859375
5	3	0.5	0.1	6	Borda	{1}	0.6368992328643799	(1,)	0.005552768707275391
5	3	0.5	0.1	8	Plurality	{0, 2, 3}	0.023267030715942383	(0, 1, 2, 3, 4)	0.0013697147369384766
5	3	0.5	0.1	8	2-approval	{1, 4}	0.05297565460205078	(0, 1, 2, 3, 4)	0.0024611949920654297
5	3	0.5	0.1	8	Borda	{1, 4}	2.070586919784546	(0, 1, 2, 3, 4)	0.0030062198638916016
3	5	0.5	0.1	8	Plurality	{1}	0.0016324520111083984	(1,)	0.0016014575958251953
