m	n	chain_size	batch	rule	threads	grouping	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	100	5	3	Plurality	1	True	(6,)	12.800000000000061	11.799999999999992	1	0.0004961490631103516	0.00027632713317871094	0.0010364055633544922	0.002907991409301758
10	100	5	3	2-approval	1	True	(6,)	24.288888888889	22.288888888888877	2	0.0004343986511230469	0.00027108192443847656	0.0013163089752197266	0.0031931400299072266
10	100	5	3	Borda	1	True	(6,)	464.6666666666665	464.66666666666674	0	0.0004410743713378906	0.00028014183044433594	0.0022079944610595703	0.004889965057373047
10	100	5	5	Plurality	1	True	(0,)	11.800000000000031	11.799999999999988	0	0.00045871734619140625	0.0003161430358886719	0.0010764598846435547	0.003031015396118164
10	100	5	5	2-approval	1	True	(0,)	22.711111111111244	22.71111111111109	0	0.00043272972106933594	0.0002703666687011719	0.0012218952178955078	0.0030837059020996094
10	100	5	5	Borda	1	True	(8,)	473.83333333333314	473.83333333333326	0	0.0004296302795410156	0.0002779960632324219	0.0021753311157226562	0.0048215389251708984
10	100	5	7	Plurality	1	True	(0,)	12.900000000000043	12.899999999999988	1	0.000431060791015625	0.0002598762512207031	0.0009009838104248047	0.0026443004608154297
10	100	5	7	2-approval	1	True	(0,)	24.24444444444456	24.244444444444422	1	0.0004303455352783203	0.0002651214599609375	0.0011851787567138672	0.003034830093383789
10	100	5	7	Borda	1	True	(6, 9)	477.50000000000017	477.50000000000017	0	0.0004303455352783203	0.00027298927307128906	0.002155303955078125	0.004698514938354492
10	100	5	0	Plurality	1	True	(9,)	17.700000000000053	13.699999999999994	5	0.00043582916259765625	0.0002589225769042969	0.0008664131164550781	0.002559185028076172
10	100	5	0	2-approval	1	True	(9,)	28.51111111111121	24.511111111111106	6	0.00043272972106933594	0.0002512931823730469	0.0011892318725585938	0.003006458282470703
10	100	5	0	Borda	1	True	(9,)	513.4999999999993	485.50000000000017	4	0.0004315376281738281	0.00025081634521484375	0.002058267593383789	0.00458216667175293
10	100	5	9	Plurality	1	True	(9,)	12.500000000000057	12.499999999999991	1	0.0004298686981201172	0.00025963783264160156	0.0008947849273681641	0.0026063919067382812
10	100	5	9	2-approval	1	True	(9,)	24.91111111111123	23.911111111111097	4	0.0004343986511230469	0.0002541542053222656	0.0011951923370361328	0.002992391586303711
10	100	5	9	Borda	1	True	(9,)	488.99999999999983	474.99999999999994	2	0.000438690185546875	0.00025582313537597656	0.0021228790283203125	0.0047147274017333984
10	100	5	2	Plurality	1	True	(7,)	12.50000000000006	12.49999999999999	1	0.0004291534423828125	0.0002505779266357422	0.000904083251953125	0.0026128292083740234
10	100	5	2	2-approval	1	True	(7,)	24.11111111111125	24.111111111111093	1	0.0004341602325439453	0.00026345252990722656	0.0012125968933105469	0.0030596256256103516
10	100	5	2	Borda	1	True	(7,)	500.99999999999983	491.00000000000017	2	0.00043201446533203125	0.00025653839111328125	0.0020804405212402344	0.004590034484863281
10	100	5	4	Plurality	1	True	(0,)	11.100000000000056	11.099999999999987	0	0.0004298686981201172	0.000255584716796875	0.0009038448333740234	0.0026235580444335938
10	100	5	4	2-approval	1	True	(0,)	22.200000000000127	22.199999999999974	0	0.00042891502380371094	0.00026035308837890625	0.0012221336364746094	0.003060579299926758
10	100	5	4	Borda	1	True	(0,)	483.83333333333303	474.8333333333333	1	0.00043082237243652344	0.0002646446228027344	0.002158641815185547	0.004783153533935547
10	100	5	6	Plurality	1	True	(4,)	14.800000000000058	13.799999999999994	1	0.00043272972106933594	0.0002498626708984375	0.0008676052093505859	0.0025298595428466797
10	100	5	6	2-approval	1	True	(4,)	27.733333333333448	24.733333333333327	4	0.0004303455352783203	0.0002486705780029297	0.0011687278747558594	0.0029561519622802734
10	100	5	6	Borda	1	True	(4,)	493.4999999999995	479.5000000000002	2	0.0004329681396484375	0.0002605915069580078	0.0021333694458007812	0.004727363586425781
10	100	5	8	Plurality	1	True	(3,)	11.500000000000055	11.499999999999993	0	0.0004360675811767578	0.0002562999725341797	0.0009198188781738281	0.0026483535766601562
10	100	5	8	2-approval	1	True	(3,)	21.444444444444546	21.444444444444432	0	0.00043392181396484375	0.0002601146697998047	0.001257181167602539	0.0031366348266601562
10	100	5	8	Borda	1	True	(7,)	467.9999999999999	463.0	1	0.00043129920959472656	0.0002646446228027344	0.0021970272064208984	0.004823446273803711
10	100	5	1	Plurality	1	True	(3,)	12.200000000000008	12.199999999999987	0	0.0004317760467529297	0.000255584716796875	0.0009148120880126953	0.0026178359985351562
10	100	5	1	2-approval	1	True	(9,)	24.48888888888897	23.488888888888866	2	0.00043201446533203125	0.00025653839111328125	0.0011889934539794922	0.00299835205078125
10	100	5	1	Borda	1	True	(9,)	505.5000000000001	482.5	3	0.0004363059997558594	0.0002601146697998047	0.0021097660064697266	0.00465846061706543
80	1000	10	2	Plurality	1	True	(31,)	13.487500000012961	13.487499999999809	0	0.03042006492614746	0.012654542922973633	0.2933986186981201	0.4314608573913574
80	1000	10	2	2-approval	1	True	(31,)	26.86107594935372	26.861075949366715	0	0.030469417572021484	0.01292562484741211	0.31908535957336426	0.46720266342163086
80	1000	10	2	Borda	1	True	(74,)	39919.72727272722	39919.72727272727	0	0.030532360076904297	0.012895822525024414	0.4974384307861328	1.0299906730651855
40	1000	5	5	Plurality	1	True	(5,)	25.999999999986194	25.999999999999652	0	0.015439033508300781	0.0069828033447265625	0.09255266189575195	0.1635117530822754
40	1000	5	5	2-approval	1	True	(5,)	51.76923076921561	51.76923076923007	0	0.015427827835083008	0.0070362091064453125	0.10239815711975098	0.17688584327697754
40	1000	5	5	Borda	1	True	(21,)	19670.833333333325	19670.83333333333	0	0.015602588653564453	0.007040739059448242	0.13620543479919434	0.30257272720336914
20	1000	5	5	Plurality	1	True	(7,)	52.04999999999113	52.04999999999933	0	0.007972955703735352	0.004039764404296875	0.02924370765686035	0.06453251838684082
20	1000	5	5	2-approval	1	True	(7,)	104.10526315790725	103.10526315789342	1	0.00794672966003418	0.004033327102661133	0.034920692443847656	0.07189130783081055
20	1000	5	5	Borda	1	True	(11,)	9615.5	9615.5	0	0.007988452911376953	0.004115104675292969	0.052962303161621094	0.11439943313598633
80	1000	20	6	Plurality	1	True	(74,)	14.787500000007306	14.787499999999786	0	0.03174901008605957	0.012622833251953125	0.25414395332336426	0.3866536617279053
80	1000	20	6	2-approval	1	True	(74,)	29.093987341761363	29.093987341771744	1	0.031531333923339844	0.012707233428955078	0.276111364364624	0.4120047092437744
80	1000	20	6	Borda	1	True	(67,)	40636.57142857149	40418.57142857144	3	0.03161168098449707	0.01290440559387207	0.6678838729858398	1.2039198875427246
10	1000	5	2	Plurality	1	True	(9,)	108.50000000000685	106.49999999999932	2	0.00426483154296875	0.002365589141845703	0.009023666381835938	0.025768280029296875
10	1000	5	2	2-approval	1	True	(5,)	210.53333333334012	210.53333333333183	2	0.0042743682861328125	0.0025718212127685547	0.012127399444580078	0.03052067756652832
10	1000	5	2	Borda	1	True	(9,)	4578.833333333343	4578.833333333334	0	0.004278421401977539	0.002428770065307617	0.021964311599731445	0.04799652099609375
80	1000	10	4	Plurality	1	True	(63,)	13.750000000013504	13.749999999999797	0	0.03043055534362793	0.012624979019165039	0.2947807312011719	0.43436408042907715
