m	n	phi	pmax	batch	rule	threads	pruning	grouping	winners	score_upper	score_lower	num_pruned_voters	t_vote_count_sec	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	1000	0.5	0.1	2	Plurality	1	True	True	(0,)	142.39476362008722	142.39476362007812	0	0.003578662872314453	0.04657769203186035	0.003931283950805664	3.9976954460144043	4.0908589363098145
10	1000	0.5	0.1	2	2-approval	1	True	True	(0,)	281.5709473285309	267.57094732852056	14	0.002897500991821289	0.044438838958740234	0.0041065216064453125	7.182736396789551	7.285563230514526
10	1000	0.5	0.1	2	Borda	1	True	True	(0,)	5217.291043317164	5105.291043317179	14	0.0031862258911132812	0.0460813045501709	0.004464626312255859	14.014093399047852	14.132187366485596
10	1000	0.1	0.1	2	Plurality	1	True	True	(0,)	151.62732640323748	151.62732640322838	0	0.0032210350036621094	0.044326066970825195	0.0036568641662597656	4.023353576660156	4.112850666046143
10	1000	0.1	0.1	2	2-approval	1	True	True	(0,)	298.50835374579583	285.5083537457883	13	0.0028676986694335938	0.043651580810546875	0.003908634185791016	7.212505578994751	7.3137359619140625
10	1000	0.1	0.1	2	Borda	1	True	True	(0,)	5313.340885386175	5313.340885386183	0	0.002929210662841797	0.04369997978210449	0.0042722225189208984	14.45982050895691	14.574215650558472
10	1000	0.5	0.1	5	Plurality	1	True	True	(0,)	141.38657412856088	141.38657412855076	0	0.003083467483520508	0.04570460319519043	0.004023551940917969	3.770782232284546	3.863410711288452
10	1000	0.5	0.1	5	2-approval	1	True	True	(0,)	277.75607992958106	267.7560799295717	10	0.0033919811248779297	0.04794454574584961	0.004213094711303711	6.770362377166748	6.8777148723602295
10	1000	0.5	0.1	5	Borda	1	True	True	(0,)	5206.195017321763	5126.195017321772	10	0.0028336048126220703	0.07593202590942383	0.004343748092651367	12.696371078491211	12.842934608459473
10	1000	0.1	0.1	5	Plurality	1	True	True	(0,)	176.4181888151107	154.41818881510116	22	0.003097057342529297	0.0761260986328125	0.003715038299560547	3.8060574531555176	3.9276270866394043
10	1000	0.1	0.1	5	2-approval	1	True	True	(0,)	312.59267086389985	290.5926708638921	22	0.003062009811401367	0.08146977424621582	0.004047393798828125	6.907467603683472	7.04763388633728
10	1000	0.1	0.1	5	Borda	1	True	True	(0,)	5421.878976700854	5322.878976700861	11	0.0030717849731445312	0.07783389091491699	0.004441022872924805	13.148120641708374	13.298811197280884
10	1000	0.9	0.1	3	Plurality	1	True	True	(1,)	111.12201658489164	111.12201658488169	0	0.003015279769897461	0.07930374145507812	0.004132747650146484	4.182768821716309	4.309149503707886
10	1000	0.9	0.1	3	2-approval	1	True	True	(1,)	225.27557493809985	217.27557493808936	8	0.0028944015502929688	0.04625654220581055	0.004343748092651367	7.149976491928101	7.2560014724731445
10	1000	0.9	0.1	3	Borda	1	True	True	(1,)	4694.712214069067	4622.712214069079	8	0.003164529800415039	0.04577445983886719	0.0047190189361572266	13.001062870025635	13.120122194290161
10	1000	0.9	0.1	0	Plurality	1	True	True	(0,)	109.60280817257406	109.60280817256482	0	0.0033190250396728516	0.09151864051818848	0.004384756088256836	4.047192096710205	4.1871232986450195
10	1000	0.9	0.1	0	2-approval	1	True	True	(0,)	216.44539217920843	216.44539217919728	0	0.0036993026733398438	0.08370113372802734	0.004842996597290039	6.87107253074646	7.017108917236328
10	1000	0.9	0.1	0	Borda	1	True	True	(0,)	4651.163323555798	4651.163323555804	0	0.003168344497680664	0.04596304893493652	0.00470423698425293	12.27706265449524	12.395919799804688
10	1000	0.5	0.1	8	Plurality	1	True	True	(0,)	150.55714567754208	139.55714567753344	11	0.0033578872680664062	0.04580354690551758	0.003930091857910156	3.908660411834717	4.00048303604126
10	1000	0.5	0.1	8	2-approval	1	True	True	(0,)	279.2529835087676	268.25298350875846	11	0.003377199172973633	0.04505276679992676	0.004176139831542969	6.952189922332764	7.055380344390869
10	1000	0.5	0.1	8	Borda	1	True	True	(0,)	5216.336671810841	5117.336671810849	11	0.003173828125	0.07842278480529785	0.004544496536254883	13.790224075317383	13.939420938491821
