m	n	phi	pmax	batch	rule	winners	winner_score	t_baseline_sec
10	100	0.5	0.9	2	Plurality	(0,)	0.5233799052028218	2.311030626296997
10	100	0.5	0.9	2	2-approval	(0,)	1.0456983024691355	2.419528007507324
10	100	0.5	0.9	2	Borda	(0,)	23.133346836419754	3.008553981781006
10	1000	0.5	0.1	5	Plurality	(0,)	74.78151785714276	5.638939142227173
10	1000	0.5	0.1	5	2-approval	(0,)	147.80768077601408	6.485854148864746
10	1000	0.5	0.1	5	Borda	(3,)	3236.546290784834	11.284379720687866
10	1000	0.5	0.9	7	Plurality	(0,)	8.251925154320976	23.808067798614502
10	1000	0.5	0.9	7	2-approval	(0,)	16.46507412918867	25.053515195846558
10	1000	0.5	0.9	7	Borda	(0,)	368.20327298280415	33.235002756118774
10	1000	0.9	0.1	0	Plurality	(0,)	69.66648809523828	5.5215771198272705
10	1000	0.9	0.1	0	2-approval	(0,)	138.93115740740777	6.265861511230469
10	1000	0.9	0.1	0	Borda	(7,)	3101.912104001324	10.90269422531128
10	1000	0.9	0.1	9	Plurality	(4,)	68.99267857142878	5.780234336853027
10	1000	0.9	0.1	9	2-approval	(4,)	137.63460097001814	6.650359392166138
10	1000	0.9	0.1	9	Borda	(0,)	3070.3436954365075	11.690340757369995
10	100	0.5	0.5	7	Plurality	(1,)	1.5802653769841273	2.707942485809326
10	100	0.5	0.5	7	2-approval	(1,)	3.152647156084658	3.217266321182251
10	100	0.5	0.5	7	Borda	(1,)	70.04847360008819	6.018344402313232
10	1000	0.5	0.5	3	Plurality	(0,)	17.33626074735448	25.519521236419678
10	1000	0.5	0.5	3	2-approval	(0,)	34.37666859567899	29.577720880508423
10	1000	0.5	0.5	3	Borda	(0,)	752.4706751543216	55.608951568603516
10	100	0.5	0.1	3	Plurality	(1,)	7.62249999999999	0.4621002674102783
10	100	0.5	0.1	3	2-approval	(1,)	15.123981481481465	0.5261578559875488
10	100	0.5	0.1	3	Borda	(4,)	335.6144345238094	0.8928797245025635
10	10000	0.5	0.1	6	Plurality	(0,)	753.0333382937226	56.963778257369995
10	10000	0.5	0.1	6	2-approval	(0,)	1488.9794879851538	65.15437197685242
10	10000	0.5	0.1	6	Borda	(0,)	31977.843207947502	115.40346503257751
10	10000	0.5	0.9	8	Plurality	(0,)	79.82013861331501	237.7373387813568
10	10000	0.5	0.9	8	2-approval	(0,)	159.0213155864184	254.71177339553833
10	10000	0.5	0.9	8	Borda	(0,)	3550.3093890542505	335.8166456222534
10	100	0.5	0.9	4	Plurality	(0,)	0.6263376322751324	2.337702751159668
10	100	0.5	0.9	4	2-approval	(0,)	1.2454726080246914	2.4777355194091797
10	100	0.5	0.9	4	Borda	(0,)	27.5900713734568	3.1571826934814453
10	1000	0.5	0.9	0	Plurality	(1,)	7.282365520282184	24.088732481002808
10	1000	0.5	0.9	0	2-approval	(1,)	14.5137067350088	25.634119749069214
10	1000	0.5	0.9	0	Borda	(1,)	322.42044560185167	34.561521768569946
10	1000	0.5	0.1	7	Plurality	(0,)	74.65335317460298	6.116835117340088
10	1000	0.5	0.1	7	2-approval	(0,)	147.40766975308645	7.106912136077881
10	1000	0.5	0.1	7	Borda	(1,)	3176.2532572751347	12.854283094406128
10	1000	0.5	0.9	9	Plurality	(0,)	8.430535163139316	23.702542543411255
10	1000	0.5	0.9	9	2-approval	(0,)	16.78885747354493	25.150811433792114
10	1000	0.5	0.9	9	Borda	(0,)	374.18923638668434	33.65879201889038
