m	n	phi	pmax	batch	rule	pruning	grouping	winners	winner_score	t_baseline_sec
10	10000	0.5	0.5	8	Plurality	False	False	(0,)	2740.627728251605	297.62105917930603
10	10000	0.5	0.5	8	2-approval	False	False	(0,)	4721.671427623071	334.31926441192627
10	10000	0.5	0.5	8	Borda	False	False	(0,)	65528.35823466155	577.2291767597198
10	10000	0.5	0.1	3	Plurality	False	False	(0,)	1403.0389533530986	73.63602328300476
10	10000	0.5	0.1	3	2-approval	False	False	(0,)	2694.7032961666987	82.95979404449463
10	10000	0.5	0.1	3	Borda	False	False	(0,)	51565.560717426975	132.67580270767212
10	10000	0.5	0.9	5	Plurality	False	False	(0,)	3605.143007377063	274.82463026046753
10	10000	0.5	0.9	5	2-approval	False	False	(0,)	5821.4294303468805	289.39840364456177
10	10000	0.5	0.9	5	Borda	False	False	(0,)	71535.87786079683	377.19440817832947
10	10000	0.5	0.1	0	Plurality	False	False	(0,)	1398.6162124913537	74.96543002128601
10	10000	0.5	0.1	0	2-approval	False	False	(0,)	2689.91048683591	84.23052144050598
10	10000	0.5	0.1	0	Borda	False	False	(0,)	51549.4485752821	135.64988231658936
10	10000	0.5	0.1	6	Plurality	False	False	(0,)	1399.3084292515875	73.47887253761292
10	10000	0.5	0.1	6	2-approval	False	False	(0,)	2692.3057082344153	82.76831126213074
10	10000	0.5	0.1	6	Borda	False	False	(0,)	51589.183422411945	132.67595839500427
10	10000	0.5	0.9	2	Plurality	False	False	(0,)	3706.923866375118	277.13567900657654
10	10000	0.5	0.9	2	2-approval	False	False	(0,)	5911.89053232346	291.7862346172333
10	10000	0.5	0.9	2	Borda	False	False	(0,)	71857.05740082037	374.0973575115204
10	10000	0.5	0.9	8	Plurality	False	False	(0,)	3657.6366354503375	276.5800199508667
10	10000	0.5	0.9	8	2-approval	False	False	(0,)	5907.338868122173	290.3415129184723
10	10000	0.5	0.9	8	Borda	False	False	(0,)	71887.20554581388	372.8070595264435
10	10000	0.5	0.1	9	Plurality	False	False	(0,)	1410.289949239473	74.67246150970459
10	10000	0.5	0.1	9	2-approval	False	False	(0,)	2710.6161553240368	82.89918446540833
10	10000	0.5	0.1	9	Borda	False	False	(0,)	51774.63560243524	133.3594524860382
10	10000	0.5	0.5	4	Plurality	False	False	(0,)	2721.475130304891	301.08377742767334
10	10000	0.5	0.5	4	2-approval	False	False	(0,)	4708.871351022194	342.959361076355
