m	n	phi	pmax	batch	rule	pruning	grouping	winners	t_total_sec
10	10000	0.5	0.5	8	Plurality	True	False	(0,)	102.56784582138062
10	10000	0.5	0.5	8	2-approval	True	False	(0,)	157.37315440177917
10	10000	0.5	0.5	8	Borda	True	False	(0,)	404.16174697875977
10	10000	0.5	0.1	3	Plurality	True	False	(0,)	39.94140100479126
10	10000	0.5	0.1	3	2-approval	True	False	(0,)	68.35521221160889
10	10000	0.5	0.1	3	Borda	True	False	(0,)	123.90642213821411
10	10000	0.5	0.9	5	Plurality	True	False	(0,)	42.62313795089722
10	10000	0.5	0.9	5	2-approval	True	False	(0,)	61.39038705825806
10	10000	0.5	0.9	5	Borda	True	False	(0,)	140.4506425857544
10	10000	0.5	0.1	0	Plurality	True	False	(0,)	40.67048668861389
10	10000	0.5	0.1	0	2-approval	True	False	(0,)	70.1342043876648
10	10000	0.5	0.1	0	Borda	True	False	(0,)	128.0646333694458
10	10000	0.5	0.1	6	Plurality	True	False	(0,)	39.82724857330322
10	10000	0.5	0.1	6	2-approval	True	False	(0,)	67.67940902709961
10	10000	0.5	0.1	6	Borda	True	False	(0,)	123.27590370178223
10	10000	0.5	0.9	2	Plurality	True	False	(0,)	39.96827554702759
10	10000	0.5	0.9	2	2-approval	True	False	(0,)	58.28637742996216
10	10000	0.5	0.9	2	Borda	True	False	(0,)	136.2362620830536
10	10000	0.5	0.9	8	Plurality	True	False	(0,)	41.644103050231934
10	10000	0.5	0.9	8	2-approval	True	False	(0,)	58.915539264678955
10	10000	0.5	0.9	8	Borda	True	False	(0,)	136.91985273361206
10	10000	0.5	0.1	9	Plurality	True	False	(0,)	40.2147319316864
10	10000	0.5	0.1	9	2-approval	True	False	(0,)	68.98219275474548
10	10000	0.5	0.1	9	Borda	True	False	(0,)	125.75512194633484
10	10000	0.5	0.5	4	Plurality	True	False	(0,)	106.43690609931946
10	10000	0.5	0.5	4	2-approval	True	False	(0,)	164.66523385047913
10	10000	0.5	0.5	4	Borda	True	False	(0,)	418.09493684768677
10	10000	0.5	0.5	1	Plurality	True	False	(0,)	104.42788910865784
10	10000	0.5	0.5	1	2-approval	True	False	(0,)	161.60417437553406
10	10000	0.5	0.5	1	Borda	True	False	(0,)	415.62100481987
10	10000	0.5	0.5	7	Plurality	True	False	(0,)	100.45022177696228
10	10000	0.5	0.5	7	2-approval	True	False	(0,)	155.16110825538635
10	10000	0.5	0.5	7	Borda	True	False	(0,)	393.843642950058
10	10000	0.5	0.1	5	Plurality	True	False	(0,)	41.218408823013306
10	10000	0.5	0.1	5	2-approval	True	False	(0,)	71.04069447517395
10	10000	0.5	0.1	5	Borda	True	False	(0,)	132.31719756126404
10	10000	0.5	0.9	1	Plurality	True	False	(0,)	40.646892070770264
10	10000	0.5	0.9	1	2-approval	True	False	(0,)	58.184468269348145
10	10000	0.5	0.9	1	Borda	True	False	(0,)	134.42911338806152
10	10000	0.5	0.9	7	Plurality	True	False	(0,)	40.29095125198364
10	10000	0.5	0.9	7	2-approval	True	False	(0,)	57.62829113006592
10	10000	0.5	0.9	7	Borda	True	False	(0,)	133.04509210586548
10	10000	0.5	0.1	2	Plurality	True	False	(0,)	41.49148869514465
10	10000	0.5	0.1	2	2-approval	True	False	(0,)	71.58668112754822
10	10000	0.5	0.1	2	Borda	True	False	(0,)	133.22296524047852
10	10000	0.5	0.1	8	Plurality	True	False	(0,)	40.58001947402954
10	10000	0.5	0.1	8	2-approval	True	False	(0,)	69.09776449203491
10	10000	0.5	0.1	8	Borda	True	False	(0,)	128.47087454795837
10	10000	0.5	0.9	4	Plurality	True	False	(0,)	42.24381113052368
10	10000	0.5	0.9	4	2-approval	True	False	(0,)	60.20475959777832
10	10000	0.5	0.9	4	Borda	True	False	(0,)	137.4507007598877
10	10000	0.5	0.5	0	Plurality	True	False	(0,)	105.7070882320404
10	10000	0.5	0.5	0	2-approval	True	False	(0,)	163.4048125743866
10	10000	0.5	0.5	0	Borda	True	False	(0,)	420.92791628837585
10	10000	0.5	0.5	3	Plurality	True	False	(0,)	106.11958718299866
10	10000	0.5	0.5	3	2-approval	True	False	(0,)	163.012841463089
10	10000	0.5	0.5	3	Borda	True	False	(0,)	418.1633687019348
10	10000	0.5	0.5	9	Plurality	True	False	(0,)	107.16363143920898
10	10000	0.5	0.5	9	2-approval	True	False	(0,)	164.31401419639587
10	10000	0.5	0.5	9	Borda	True	False	(0,)	421.04702067375183
10	10000	0.5	0.5	6	Plurality	True	False	(0,)	104.82995104789734
