m	phi	pmax	ith_such_poset	cardinality	poset
10	0.5	0.1	0	6	Poset(parent_to_children={3: {2}, 4: {8}, 6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	1	6	Poset(parent_to_children={1: {8}, 4: {9}, 3: {8, 7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	2	2	Poset(parent_to_children={0: {1}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	3	2	Poset(parent_to_children={6: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	4	2	Poset(parent_to_children={1: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	5	4	Poset(parent_to_children={1: {0}, 3: {2}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	6	2	Poset(parent_to_children={1: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	7	2	Poset(parent_to_children={4: {6}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	8	4	Poset(parent_to_children={0: {8}, 2: {3}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	9	6	Poset(parent_to_children={2: {6}, 0: {9}, 4: {5}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	10	2	Poset(parent_to_children={2: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	11	4	Poset(parent_to_children={1: {2}, 4: {7}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
10	0.5	0.1	12	4	Poset(parent_to_children={2: {7}, 1: {4}}, item_set={0, 1, 2, 3, 4, 5, 6, 7, 8, 9})
