m	phi	pmax	ith_such_poset	item	cover_width	num_states	t_sec
10	0.5	0.1	0	2	3	280	0.0043413639068603516
10	0.5	0.1	1	1	3	760	0.009117364883422852
10	0.5	0.1	2	0	1	46	0.0009434223175048828
10	0.5	0.1	3	6	1	37	0.0006167888641357422
10	0.5	0.1	4	1	1	49	0.0008301734924316406
10	0.5	0.1	5	0	2	47	0.0012440681457519531
10	0.5	0.1	6	1	1	51	0.0007979869842529297
10	0.5	0.1	7	4	1	45	0.0007114410400390625
10	0.5	0.1	8	0	2	56	0.0011548995971679688
10	0.5	0.1	9	0	3	144	0.0021278858184814453
10	0.5	0.1	10	2	1	51	0.0007598400115966797
10	0.5	0.1	11	1	2	106	0.0016901493072509766
10	0.5	0.1	12	1	2	119	0.001958608627319336
10	0.5	0.1	13	0	2	52	0.0013475418090820312
10	0.5	0.1	14	1	3	131	0.0021712779998779297
10	0.5	0.1	15	0	2	64	0.001363992691040039
10	0.5	0.1	16	5	1	44	0.0006237030029296875
10	0.5	0.1	17	2	2	144	0.0019290447235107422
10	0.5	0.1	18	0	4	417	0.005527496337890625
10	0.5	0.1	19	0	3	280	0.0032846927642822266
10	0.5	0.1	20	4	1	47	0.0006802082061767578
10	0.5	0.1	21	0	4	260	0.0035202503204345703
10	0.5	0.1	22	0	3	337	0.005550861358642578
10	0.5	0.1	23	3	1	47	0.0007531642913818359
10	0.5	0.1	24	2	2	76	0.0011942386627197266
10	0.5	0.1	25	5	2	79	0.0011878013610839844
10	0.5	0.1	26	0	4	403	0.0047795772552490234
10	0.5	0.1	27	1	1	53	0.0007686614990234375
10	0.5	0.1	28	2	2	198	0.002805948257446289
10	0.5	0.1	29	1	2	55	0.0011360645294189453
10	0.5	0.1	30	1	2	190	0.0025925636291503906
10	0.5	0.1	31	0	4	924	0.010806560516357422
10	0.5	0.1	32	3	2	65	0.00118255615234375
10	0.5	0.1	33	1	1	50	0.0008089542388916016
10	0.5	0.1	34	0	1	43	0.001155853271484375
10	0.5	0.1	35	1	2	116	0.001903533935546875
10	0.5	0.1	36	0	3	382	0.005526304244995117
10	0.5	0.1	37	1	1	50	0.0008027553558349609
10	0.5	0.1	38	1	2	101	0.0012385845184326172
10	0.5	0.1	39	0	3	265	0.0038154125213623047
10	0.5	0.1	40	1	3	342	0.0037810802459716797
10	0.5	0.1	41	0	3	808	0.009364604949951172
10	0.5	0.1	42	8	1	26	0.0005013942718505859
10	0.5	0.1	43	3	1	50	0.0007097721099853516
10	0.5	0.1	44	1	1	53	0.0007557868957519531
10	0.5	0.1	45	6	1	37	0.0005924701690673828
10	0.5	0.1	46	1	2	127	0.001711130142211914
10	0.5	0.1	47	1	2	78	0.0013074874877929688
10	0.5	0.1	48	4	1	46	0.0007576942443847656
10	0.5	0.1	49	0	3	633	0.007807016372680664
10	0.5	0.1	50	2	3	84	0.0014579296112060547
10	0.5	0.1	51	0	2	179	0.0024290084838867188
10	0.5	0.1	52	4	1	47	0.0006737709045410156
10	0.5	0.1	53	0	2	60	0.0013527870178222656
10	0.5	0.1	54	3	2	118	0.0018470287322998047
10	0.5	0.1	55	0	1	53	0.0007815361022949219
10	0.5	0.1	56	1	1	47	0.0008518695831298828
10	0.5	0.1	57	2	1	41	0.0009500980377197266
10	0.5	0.1	58	0	2	59	0.0011522769927978516
10	0.5	0.1	59	2	3	334	0.0035011768341064453
10	0.5	0.1	60	1	2	104	0.001514434814453125
10	0.5	0.1	61	2	2	114	0.0018510818481445312
10	0.5	0.1	62	2	1	50	0.0007610321044921875
