m	n	phi	pmax	batch	rule	threads	grouping	winners	t_sec
10	1000000	0.5	0.1	0	plurality	15	True	(0,)	322.2386074066162
10	1000000	0.5	0.1	0	plurality	20	True	(0,)	242.13760614395144
10	1000000	0.5	0.1	0	plurality	25	True	(0,)	193.87191343307492
10	1000000	0.5	0.1	0	plurality	30	True	(0,)	174.72057271003723
10	1000000	0.5	0.1	0	plurality	35	True	(0,)	144.00560665130615
10	1000000	0.5	0.1	0	plurality	40	True	(0,)	129.830180644989
10	1000000	0.5	0.1	0	plurality	45	True	(0,)	117.42585301399232
10	1000000	0.5	0.1	0	plurality	48	True	(0,)	110.84247756004332
10	1000000	0.5	0.1	0	2-approval	15	True	(0,)	361.40650963783264
10	1000000	0.5	0.1	0	2-approval	20	True	(0,)	271.9315969944
10	1000000	0.5	0.1	0	2-approval	25	True	(0,)	230.7652406692505
10	1000000	0.5	0.1	0	2-approval	30	True	(0,)	196.70537996292117
10	1000000	0.5	0.1	0	2-approval	35	True	(0,)	164.6164004802704
10	1000000	0.5	0.1	0	2-approval	40	True	(0,)	146.22032260894775
10	1000000	0.5	0.1	0	2-approval	45	True	(0,)	133.54447317123413
10	1000000	0.5	0.1	0	2-approval	48	True	(0,)	135.01449584960938
10	1000000	0.5	0.1	0	Borda	15	True	(0,)	651.6437764167786
10	1000000	0.5	0.1	0	Borda	20	True	(0,)	494.30811738967896
10	1000000	0.5	0.1	0	Borda	25	True	(0,)	395.947872877121
10	1000000	0.5	0.1	0	Borda	30	True	(0,)	334.7573528289795
10	1000000	0.5	0.1	0	Borda	35	True	(0,)	286.5116744041443
10	1000000	0.5	0.1	0	Borda	40	True	(0,)	258.87816619873047
10	1000000	0.5	0.1	0	Borda	45	True	(0,)	235.76513123512268
10	1000000	0.5	0.1	0	Borda	48	True	(0,)	221.9674475193024
10	1000000	0.5	0.1	1	plurality	15	True	(0,)	314.8246386051178
10	1000000	0.5	0.1	1	plurality	20	True	(0,)	239.9181020259857
10	1000000	0.5	0.1	1	plurality	25	True	(0,)	195.7746114730835
10	1000000	0.5	0.1	1	plurality	30	True	(0,)	165.11918783187866
10	1000000	0.5	0.1	1	plurality	35	True	(0,)	143.8973159790039
10	1000000	0.5	0.1	1	plurality	40	True	(0,)	127.75805163383484
10	1000000	0.5	0.1	1	plurality	45	True	(0,)	115.25821805000304
10	1000000	0.5	0.1	1	plurality	48	True	(0,)	111.48320484161376
10	1000000	0.5	0.1	1	2-approval	15	True	(0,)	381.13989305496216
10	1000000	0.5	0.1	1	2-approval	20	True	(0,)	274.6435570716858
10	1000000	0.5	0.1	1	2-approval	25	True	(0,)	223.47014117240903
10	1000000	0.5	0.1	1	2-approval	30	True	(0,)	187.40002036094663
10	1000000	0.5	0.1	1	2-approval	35	True	(0,)	164.18901538848877
10	1000000	0.5	0.1	1	2-approval	40	True	(0,)	154.36962795257568
10	1000000	0.5	0.1	1	2-approval	45	True	(0,)	132.3904504776001
10	1000000	0.5	0.1	1	2-approval	48	True	(0,)	126.43284893035889
10	1000000	0.5	0.1	1	Borda	15	True	(0,)	658.4275465011597
10	1000000	0.5	0.1	1	Borda	20	True	(0,)	485.510808467865
10	1000000	0.5	0.1	1	Borda	25	True	(0,)	395.9988760948181
10	1000000	0.5	0.1	1	Borda	30	True	(0,)	340.1576120853424
10	1000000	0.5	0.1	1	Borda	35	True	(0,)	284.6664397716522
10	1000000	0.5	0.1	1	Borda	40	True	(0,)	250.34729385375977
