m	n	phi	pmax	batch	rule	threads	grouping	winners	t_sec
10	1000000	0.5	0.1	0	Plurality	1	True	(0,)	4095.732262611389
10	1000000	0.5	0.1	0	Plurality	5	True	(0,)	912.5602324008942
10	1000000	0.5	0.1	0	Plurality	10	True	(0,)	465.1614670753479
10	1000000	0.5	0.1	0	2-approval	1	True	(0,)	4642.765586137772
10	1000000	0.5	0.1	0	2-approval	5	True	(0,)	1048.9634342193604
10	1000000	0.5	0.1	0	2-approval	10	True	(0,)	536.3246583938599
10	1000000	0.5	0.1	0	Borda	1	True	(0,)	8214.894213676453
10	1000000	0.5	0.1	0	Borda	5	True	(0,)	1883.0672380924225
10	1000000	0.5	0.1	0	Borda	10	True	(0,)	962.4237921237946
10	1000000	0.5	0.1	1	Plurality	1	True	(0,)	4075.388109922409
10	1000000	0.5	0.1	1	Plurality	5	True	(0,)	929.2356069087982
10	1000000	0.5	0.1	1	Plurality	10	True	(0,)	465.2862162590027
10	1000000	0.5	0.1	1	2-approval	1	True	(0,)	4729.243765592575
10	1000000	0.5	0.1	1	2-approval	5	True	(0,)	1054.291963815689
10	1000000	0.5	0.1	1	2-approval	10	True	(0,)	533.4224469661713
10	1000000	0.5	0.1	1	Borda	1	True	(0,)	8300.488296031952
10	1000000	0.5	0.1	1	Borda	5	True	(0,)	1922.472252845764
10	1000000	0.5	0.1	1	Borda	10	True	(0,)	951.6222517490388
10	1000000	0.5	0.1	2	Plurality	1	True	(0,)	4046.5788855552673
10	1000000	0.5	0.1	2	Plurality	5	True	(0,)	943.9990274906158
10	1000000	0.5	0.1	2	Plurality	10	True	(0,)	494.4356081485748
10	1000000	0.5	0.1	2	2-approval	1	True	(0,)	4715.094445228577
10	1000000	0.5	0.1	2	2-approval	5	True	(0,)	1075.593471288681
10	1000000	0.5	0.1	2	2-approval	10	True	(0,)	532.8572137355804
10	1000000	0.5	0.1	2	Borda	1	True	(0,)	8275.62500333786
10	1000000	0.5	0.1	2	Borda	5	True	(0,)	1885.9047617912288
10	1000000	0.5	0.1	2	Borda	10	True	(0,)	945.3612205982208
10	1000000	0.5	0.1	3	Plurality	1	True	(0,)	4140.454128980637
10	1000000	0.5	0.1	3	Plurality	5	True	(0,)	930.9835765361786
10	1000000	0.5	0.1	3	Plurality	10	True	(0,)	463.5792725086212
10	1000000	0.5	0.1	3	2-approval	1	True	(0,)	4730.581045866013
10	1000000	0.5	0.1	3	2-approval	5	True	(0,)	1066.1790671348572
