m	n	phi	pmax	batch	rule	pruning	grouping	winners	winner_score	t_baseline_sec
10	1000	0.5	0.1	2	Plurality	False	False	(0,)	142.394763620077	7.803664922714233
10	1000	0.5	0.1	2	2-approval	False	False	(0,)	272.85983621740723	8.856174945831299
10	1000	0.5	0.1	2	Borda	False	False	(0,)	5179.957709983841	14.464373350143433
10	1000	0.5	0.1	5	Plurality	False	False	(0,)	141.38657412854988	7.380318641662598
10	1000	0.5	0.1	5	2-approval	False	False	(0,)	271.5338577073469	8.225526571273804
10	1000	0.5	0.1	5	Borda	False	False	(0,)	5179.528350655096	13.119299411773682
10	1000	0.5	0.1	8	Plurality	False	False	(0,)	140.65714567753204	7.683047533035278
10	1000	0.5	0.1	8	2-approval	False	False	(0,)	270.45298350875527	8.601534605026245
10	1000	0.5	0.1	8	Borda	False	False	(0,)	5166.836671810843	14.487194061279297
10	100	0.5	0.1	0	Plurality	False	False	(0,)	15.472683982683968	0.7379345893859863
10	100	0.5	0.1	0	2-approval	False	False	(0,)	29.22298220298218	0.6686224937438965
10	100	0.5	0.1	0	Borda	False	False	(0,)	531.9100793650794	1.1456592082977295
10	10000	0.5	0.1	3	Plurality	False	False	(0,)	1403.0389533530986	75.7925181388855
10	10000	0.5	0.1	3	2-approval	False	False	(0,)	2694.7032961666987	83.25225567817688
10	10000	0.5	0.1	3	Borda	False	False	(0,)	51565.560717426975	135.21585702896118
10	100	0.5	0.1	3	Plurality	False	False	(2,)	13.406547619047604	0.6118922233581543
10	100	0.5	0.1	3	2-approval	False	False	(2,)	26.066349206349177	0.564110517501831
10	100	0.5	0.1	3	Borda	False	False	(2,)	506.8567592592591	0.9152929782867432
10	10000	0.5	0.1	0	Plurality	False	False	(0,)	1398.6162124913537	77.00299882888794
10	10000	0.5	0.1	0	2-approval	False	False	(0,)	2689.91048683591	84.2520182132721
10	10000	0.5	0.1	0	Borda	False	False	(0,)	51549.4485752821	139.04995107650757
10	10000	0.5	0.1	6	Plurality	False	False	(0,)	1399.3084292515875	73.60069370269775
10	10000	0.5	0.1	6	2-approval	False	False	(0,)	2692.3057082344153	82.57149457931519
10	10000	0.5	0.1	6	Borda	False	False	(0,)	51589.183422411945	132.09886002540588
10	100	0.5	0.1	6	Plurality	False	False	(0,)	13.574821428571413	0.6412410736083984
10	100	0.5	0.1	6	2-approval	False	False	(0,)	26.307103174603146	0.566868782043457
10	100	0.5	0.1	6	Borda	False	False	(0,)	512.3910459183672	0.9526710510253906
10	100000	0.5	0.1	0	Plurality	False	False	(0,)	14038.91768765175	767.0909440517426
10	100000	0.5	0.1	0	2-approval	False	False	(0,)	26966.352769500445	847.4303388595581
10	100000	0.5	0.1	0	Borda	False	False	(0,)	515981.09926567227	1382.3637254238129
10	100000	0.5	0.1	3	Plurality	False	False	(0,)	14018.111574913055	755.578940153122
10	100000	0.5	0.1	3	2-approval	False	False	(0,)	26924.17226136825	852.2827429771423
10	100000	0.5	0.1	3	Borda	False	False	(0,)	515375.326111348	1359.7952783107758
10	10000	0.5	0.1	9	Plurality	False	False	(0,)	1410.289949239473	74.22189259529114
10	10000	0.5	0.1	9	2-approval	False	False	(0,)	2710.6161553240368	83.15678811073303
10	10000	0.5	0.1	9	Borda	False	False	(0,)	51774.63560243524	133.47732186317444
