m	n	phi	pmax	batch	rule	pruning	grouping	winners	winner_score	t_baseline_sec
10	1000	0.5	0.1	2	Plurality	False	True	(0,)	142.3947636200771	7.245014190673828
10	1000	0.5	0.1	2	2-approval	False	True	(0,)	272.85983621740746	8.184301376342773
10	1000	0.5	0.1	2	Borda	False	True	(0,)	5179.957709983845	13.869693279266357
10	1000	0.5	0.1	5	Plurality	False	True	(0,)	141.38657412855005	6.876906394958496
10	1000	0.5	0.1	5	2-approval	False	True	(0,)	271.53385770734707	7.700223922729492
10	1000	0.5	0.1	5	Borda	False	True	(0,)	5179.528350655099	12.456284046173096
10	1000	0.5	0.1	8	Plurality	False	True	(0,)	140.6571456775322	7.200523614883423
10	1000	0.5	0.1	8	2-approval	False	True	(0,)	270.4529835087558	8.13643479347229
10	1000	0.5	0.1	8	Borda	False	True	(0,)	5166.836671810841	13.604002952575684
10	100	0.5	0.1	0	Plurality	False	True	(0,)	15.472683982683973	0.721085786819458
10	100	0.5	0.1	0	2-approval	False	True	(0,)	29.222982202982177	0.6552650928497314
10	100	0.5	0.1	0	Borda	False	True	(0,)	531.9100793650792	1.1179423332214355
10	10000	0.5	0.1	3	Plurality	False	True	(0,)	1403.0389533531006	63.53917837142944
10	10000	0.5	0.1	3	2-approval	False	True	(0,)	2694.703296166725	71.71492671966553
10	10000	0.5	0.1	3	Borda	False	True	(0,)	51565.56071742713	119.10554027557373
10	100	0.5	0.1	3	Plurality	False	True	(2,)	13.406547619047606	0.601447343826294
10	100	0.5	0.1	3	2-approval	False	True	(2,)	26.06634920634918	0.5337493419647217
10	100	0.5	0.1	3	Borda	False	True	(2,)	506.85675925925915	0.8884842395782471
10	10000	0.5	0.1	0	Plurality	False	True	(0,)	1398.6162124913633	63.6305148601532
10	10000	0.5	0.1	0	2-approval	False	True	(0,)	2689.910486835946	71.01872158050537
10	10000	0.5	0.1	0	Borda	False	True	(0,)	51549.44857528211	120.41819953918457
10	10000	0.5	0.1	6	Plurality	False	True	(0,)	1399.3084292515887	61.26923608779907
