m	n	num_buckets	batch	rule	threads	grouping	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	100	5	3	Plurality	1	True	(9,)	12.949999999999994	12.950000000000001	1	0.001642465591430664	0.00018215179443359375	0.00033354759216308594	0.003618478775024414
10	100	5	3	2-approval	1	True	(3,)	27.249999999999996	25.25	19	0.001402139663696289	0.0001068115234375	0.00021505355834960938	0.002783536911010742
10	100	5	3	Borda	1	True	(3,)	494.5	484.5	10	0.001402139663696289	0.00023865699768066406	0.0014300346374511719	0.005144834518432617
10	100	5	5	Plurality	1	True	(7,)	14.533333333333324	14.533333333333337	6	0.0014188289642333984	0.0001671314239501953	0.0003135204315185547	0.003203153610229492
10	100	5	5	2-approval	1	True	(7,)	27.066666666666674	27.066666666666674	9	0.001394510269165039	0.00010943412780761719	0.00024127960205078125	0.0028121471405029297
10	100	5	5	Borda	1	True	(7,)	531.5	484.5	34	0.0013997554779052734	0.00018215179443359375	0.0009970664978027344	0.004221439361572266
10	100	5	7	Plurality	1	True	(0,)	14.083333333333327	14.083333333333336	1	0.001398324966430664	0.00017142295837402344	0.0002872943878173828	0.0032296180725097656
10	100	5	7	2-approval	1	True	(9,)	28.416666666666675	26.41666666666667	24	0.0013976097106933594	9.322166442871094e-05	0.00017833709716796875	0.002602100372314453
10	100	5	7	Borda	1	True	(9,)	497.0	496.0	1	0.0013957023620605469	0.00022149085998535156	0.0011904239654541016	0.004734039306640625
10	100	5	0	Plurality	1	True	(0,)	14.083333333333327	14.083333333333336	0	0.0014014244079589844	0.0001373291015625	0.0002353191375732422	0.002980947494506836
10	100	5	0	2-approval	1	True	(6,)	25.41666666666667	25.41666666666667	2	0.0013937950134277344	9.799003601074219e-05	0.00018286705017089844	0.002719402313232422
10	100	5	0	Borda	1	True	(2,)	505.0	490.0	16	0.0014047622680664062	0.00021767616271972656	0.0011746883392333984	0.004662275314331055
10	100	5	9	Plurality	1	True	(4,)	11.83333333333333	11.833333333333334	0	0.0014052391052246094	0.00018453598022460938	0.00030994415283203125	0.0033464431762695312
10	100	5	9	2-approval	1	True	(7,)	27.25	24.249999999999996	28	0.0014140605926513672	9.059906005859375e-05	0.0001697540283203125	0.0026009082794189453
10	100	5	9	Borda	1	True	(7,)	519.5	492.5	20	0.0014102458953857422	0.00019788742065429688	0.0010647773742675781	0.004408836364746094
10	100	5	2	Plurality	1	True	(1,)	13.783333333333328	12.783333333333333	7	0.0014014244079589844	0.0001480579376220703	0.0002593994140625	0.00315093994140625
10	100	5	2	2-approval	1	True	(1,)	25.316666666666656	24.316666666666666	5	0.0013959407806396484	0.00013208389282226562	0.00026488304138183594	0.002942323684692383
10	100	5	2	Borda	1	True	(1,)	499.5	487.5	9	0.0014081001281738281	0.00021839141845703125	0.001310110092163086	0.004967451095581055
10	100	5	4	Plurality	1	True	(2,)	17.91666666666666	13.916666666666668	24	0.0014090538024902344	0.00013303756713867188	0.0002155303955078125	0.0029141902923583984
10	100	5	4	2-approval	1	True	(2,)	34.0	27.0	40	0.0014030933380126953	6.67572021484375e-05	0.00011372566223144531	0.0022513866424560547
10	100	5	4	Borda	1	True	(2,)	501.0	486.0	10	0.0014064311981201172	0.00022125244140625	0.0012664794921875	0.004948139190673828
10	100	5	6	Plurality	1	True	(4,)	13.666666666666663	13.66666666666667	0	0.001401662826538086	0.0001251697540283203	0.00020265579223632812	0.0030078887939453125
10	100	5	6	2-approval	1	True	(4,)	27.36666666666667	25.366666666666664	10	0.0014195442199707031	0.00011396408081054688	0.0002014636993408203	0.0027723312377929688
10	100	5	6	Borda	1	True	(4,)	517.5	502.5	11	0.0014138221740722656	0.00019168853759765625	0.0009882450103759766	0.004217863082885742
10	100	5	8	Plurality	1	True	(9,)	16.66666666666666	14.66666666666667	10	0.0014107227325439453	0.00013113021850585938	0.00022649765014648438	0.0028696060180664062
10	100	5	8	2-approval	1	True	(9,)	28.36666666666667	27.36666666666667	11	0.001402139663696289	8.726119995117188e-05	0.00015401840209960938	0.002507448196411133
10	100	5	8	Borda	1	True	(9,)	526.5	495.5	22	0.002214670181274414	0.0001938343048095703	0.001012563705444336	0.005059957504272461
10	100	5	1	Plurality	1	True	(3,)	18.249999999999996	15.250000000000002	12	0.0013971328735351562	0.0001227855682373047	0.00021529197692871094	0.0027892589569091797
10	100	5	1	2-approval	1	True	(2,)	26.616666666666667	25.616666666666667	8	0.0013966560363769531	0.00011539459228515625	0.0002346038818359375	0.0028662681579589844
10	100	5	1	Borda	1	True	(3,)	500.5	493.5	7	0.001401662826538086	0.00021791458129882812	0.001203298568725586	0.004730939865112305
80	1000	10	2	Plurality	1	True	(66,)	15.98539377289378	15.98539377289376	2	0.13972806930541992	0.012416362762451172	0.028602123260498047	0.32662439346313477
80	1000	10	2	2-approval	1	True	(66,)	31.9707875457878	31.970787545787516	14	0.1414322853088379	0.01183629035949707	0.027579545974731445	0.3239109516143799
80	1000	10	2	Borda	1	True	(3,)	41109.5	41025.5	12	0.14093375205993652	0.011070489883422852	0.26773500442504883	0.9266026020050049
40	1000	5	5	Plurality	1	True	(39,)	28.203482628482515	28.203482628482597	0	0.05582737922668457	0.0068361759185791016	0.021387815475463867	0.14799785614013672
40	1000	5	5	2-approval	1	True	(39,)	57.12125097125132	56.12125097125091	1	0.055788278579711914	0.006731271743774414	0.021091461181640625	0.14723730087280273
40	1000	5	5	Borda	1	True	(18,)	20244.0	20196.0	6	0.05581331253051758	0.006845951080322266	0.10765886306762695	0.34792399406433105
20	1000	5	5	Plurality	1	True	(9,)	58.37817460317428	58.37817460317469	2	0.02790069580078125	0.003686666488647461	0.008358955383300781	0.07151436805725098
20	1000	5	5	2-approval	1	True	(9,)	117.4579365079366	113.4579365079367	14	0.027772903442382812	0.003265380859375	0.008011341094970703	0.06998252868652344
20	1000	5	5	Borda	1	True	(9,)	9906.0	9872.0	6	0.027811765670776367	0.003923177719116211	0.04343056678771973	0.14050579071044922
80	1000	20	6	Plurality	1	True	(30,)	16.40634920634922	16.406349206349198	1	0.20636487007141113	0.011363506317138672	0.01395416259765625	0.4280433654785156
80	1000	20	6	2-approval	1	True	(32,)	32.19484126984125	31.194841269841255	9	0.19979500770568848	0.009434938430786133	0.012701034545898438	0.39999914169311523
80	1000	20	6	Borda	1	True	(55,)	41412.0	41162.0	69	0.20087456703186035	0.007956266403198242	0.18612051010131836	0.7649343013763428
10	1000	5	2	Plurality	1	True	(5,)	113.01666666666713	110.01666666666655	29	0.013982772827148438	0.0015854835510253906	0.0032203197479248047	0.03434419631958008
10	1000	5	2	2-approval	1	True	(5,)	226.86666666666693	219.86666666666628	54	0.013867616653442383	0.0011897087097167969	0.0028641223907470703	0.03212308883666992
10	1000	5	2	Borda	1	True	(5,)	4768.5	4651.5	84	0.014139890670776367	0.0024144649505615234	0.015343189239501953	0.055901527404785156
80	1000	10	4	Plurality	1	True	(77,)	15.664729714729742	15.664729714729704	0	0.14153075218200684	0.012379646301269531	0.02889537811279297	0.3291041851043701
80	1000	10	4	2-approval	1	True	(77,)	31.329459429459632	31.32945942945941	0	0.14318370819091797	0.012072563171386719	0.028237342834472656	0.3282358646392822
80	1000	10	4	Borda	1	True	(55,)	43431.0	41868.0	201	0.14032435417175293	0.008411407470703125	0.20007705688476562	0.7268385887145996
40	1000	5	7	Plurality	1	True	(18,)	28.275391275391165	28.275391275391257	1	0.0571131706237793	0.006834506988525391	0.02151346206665039	0.14900755882263184
40	1000	5	7	2-approval	1	True	(18,)	56.55078255078285	56.55078255078253	3	0.055988311767578125	0.006604433059692383	0.0213778018951416	0.14849424362182617
40	1000	5	7	Borda	1	True	(7,)	20118.5	20087.5	5	0.05528569221496582	0.0067598819732666016	0.11017155647277832	0.35128140449523926
80	1000	20	8	Plurality	1	True	(41,)	17.890873015873087	17.890873015873016	0	0.20014643669128418	0.010922431945800781	0.01359415054321289	0.40838193893432617
80	1000	20	8	2-approval	1	True	(41,)	34.03174603174602	34.031746031746025	9	0.20265412330627441	0.008754491806030273	0.011755228042602539	0.38974475860595703
80	1000	20	8	Borda	1	True	(42,)	41103.5	40996.5	29	0.20124101638793945	0.008846759796142578	0.20891022682189941	0.823944091796875
10	1000	5	4	Plurality	1	True	(8,)	107.31666666666706	106.31666666666658	4	0.014072418212890625	0.0015652179718017578	0.003152608871459961	0.034673452377319336
10	1000	5	4	2-approval	1	True	(8,)	219.5666666666669	209.56666666666638	48	0.014103174209594727	0.001157999038696289	0.0030121803283691406	0.03327202796936035
10	1000	5	4	Borda	1	True	(8,)	4743.0	4600.0	100	0.01401972770690918	0.0022897720336914062	0.01636219024658203	0.05770611763000488
80	1000	10	6	Plurality	1	True	(2,)	15.792324342324447	15.792324342324324	0	0.14096856117248535	0.012252330780029297	0.028693437576293945	0.32901477813720703
80	1000	10	6	2-approval	1	True	(2,)	31.5846486846489	31.58464868464865	1	0.1416313648223877	0.011765241622924805	0.027980804443359375	0.3242368698120117
80	1000	10	6	Borda	1	True	(34,)	41670.0	41551.0	14	0.1429765224456787	0.010280132293701172	0.24123144149780273	0.855811595916748
40	1000	5	0	Plurality	1	True	(16,)	28.28858780108773	28.288587801087786	1	0.05658459663391113	0.006806612014770508	0.02183222770690918	0.149658203125
40	1000	5	0	2-approval	1	True	(16,)	56.577175602175885	56.57717560217557	3	0.05694746971130371	0.006686210632324219	0.02184748649597168	0.14943242073059082
40	1000	5	0	Borda	1	True	(29,)	20204.0	20113.0	13	0.05565667152404785	0.006850481033325195	0.10863256454467773	0.35161876678466797
40	1000	5	9	Plurality	1	True	(12,)	27.54642579642581	27.546425796425794	0	0.05509161949157715	0.006860256195068359	0.02163386344909668	0.14813780784606934
40	1000	5	9	2-approval	1	True	(12,)	55.80713730713734	54.8071373071373	4	0.055811405181884766	0.006755828857421875	0.021628141403198242	0.15003705024719238
40	1000	5	9	Borda	1	True	(21,)	20180.5	20161.5	2	0.055413246154785156	0.006714582443237305	0.10829877853393555	0.34969496726989746
20	1000	5	0	Plurality	1	True	(19,)	55.22499999999985	55.22500000000005	2	0.02809000015258789	0.003764629364013672	0.00862574577331543	0.07259035110473633
20	1000	5	0	2-approval	1	True	(19,)	114.34761904761915	111.34761904761918	20	0.027788162231445312	0.003316640853881836	0.008173704147338867	0.07057547569274902
20	1000	5	0	Borda	1	True	(19,)	9959.0	9902.0	16	0.028374910354614258	0.0037834644317626953	0.042885541915893555	0.13966774940490723
80	1000	20	1	Plurality	1	True	(10,)	19.071428571428587	19.071428571428566	31	0.20043206214904785	0.010723114013671875	0.012880563735961914	0.40489888191223145
80	1000	20	1	2-approval	1	True	(10,)	36.30952380952376	35.309523809523796	39	0.20770502090454102	0.008749723434448242	0.011324167251586914	0.3961162567138672
80	1000	20	1	Borda	1	True	(71,)	41374.5	41218.5	37	0.20179343223571777	0.007976293563842773	0.18829083442687988	0.7640612125396729
10	1000	5	6	Plurality	1	True	(8,)	116.73333333333373	111.7333333333332	66	0.013989925384521484	0.0014643669128417969	0.002910137176513672	0.033162593841552734
10	1000	5	6	2-approval	1	True	(9,)	222.45000000000027	213.44999999999968	44	0.014131784439086914	0.0011720657348632812	0.0029172897338867188	0.03305530548095703
10	1000	5	6	Borda	1	True	(8,)	4598.5	4594.5	3	0.014063596725463867	0.002598285675048828	0.017637252807617188	0.061092376708984375
80	1000	10	8	Plurality	1	True	(59,)	15.671830946830967	15.67183094683093	0	0.14302301406860352	0.012262582778930664	0.029073715209960938	0.33270835876464844
80	1000	10	8	2-approval	1	True	(59,)	31.343661893662176	31.34366189366186	7	0.14211535453796387	0.011764049530029297	0.028085947036743164	0.32356858253479004
80	1000	10	8	Borda	1	True	(28,)	41458.0	41264.0	25	0.1406702995300293	0.01052403450012207	0.25548624992370605	0.88759446144104
40	1000	5	2	Plurality	1	True	(19,)	28.906083214171364	28.906083214171435	1	0.05576515197753906	0.006790876388549805	0.020992517471313477	0.14738059043884277
40	1000	5	2	2-approval	1	True	(19,)	57.81216642834318	57.81216642834287	1	0.0559687614440918	0.006601810455322266	0.020623207092285156	0.14739155769348145
40	1000	5	2	Borda	1	True	(19,)	20073.5	20040.5	4	0.05547046661376953	0.006860256195068359	0.10974287986755371	0.35423803329467773
80	1000	5	5	Plurality	1	True	(36,)	14.413453253696103	14.413453253695954	0	0.11197400093078613	0.01257944107055664	0.06007957458496094	0.3149070739746094
80	1000	5	5	2-approval	1	True	(36,)	28.82690650739221	28.826906507391907	0	0.11240458488464355	0.01243448257446289	0.06028413772583008	0.31577110290527344
80	1000	5	5	Borda	1	True	(36,)	40925.5	40896.5	2	0.11210942268371582	0.01217198371887207	0.29748058319091797	0.9745242595672607
80	1000	10	1	Plurality	1	True	(29,)	15.168814518814582	15.168814518814507	3	0.14201021194458008	0.012329816818237305	0.029387950897216797	0.332794189453125
80	1000	10	1	2-approval	1	True	(29,)	30.337629037629277	30.337629037629014	4	0.14129114151000977	0.012174129486083984	0.028238296508789062	0.32625293731689453
80	1000	10	1	Borda	1	True	(56,)	41148.0	41113.0	4	0.14304447174072266	0.010913372039794922	0.26259493827819824	0.9150221347808838
40	1000	5	4	Plurality	1	True	(5,)	29.212065712065485	29.21206571206569	0	0.055907249450683594	0.006846427917480469	0.021445512771606445	0.14986658096313477
40	1000	5	4	2-approval	1	True	(5,)	58.42413142413187	58.42413142413138	0	0.0555875301361084	0.006615877151489258	0.02073192596435547	0.14622020721435547
40	1000	5	4	Borda	1	True	(5,)	20366.0	20213.0	22	0.05537915229797363	0.006532192230224609	0.10538458824157715	0.3415999412536621
20	1000	5	7	Plurality	1	True	(13,)	63.5416666666663	58.54166666666677	22	0.027831077575683594	0.003589153289794922	0.008489370346069336	0.07120227813720703
20	1000	5	7	2-approval	1	True	(13,)	120.96666666666682	113.96666666666684	34	0.02801060676574707	0.0032699108123779297	0.008063554763793945	0.06990599632263184
20	1000	5	7	Borda	1	True	(13,)	9880.0	9816.0	19	0.02779412269592285	0.0038454532623291016	0.04384899139404297	0.141371488571167
80	1000	5	7	Plurality	1	True	(1,)	14.599659770540153	14.599659770540079	0	0.11214137077331543	0.012491703033447266	0.06011319160461426	0.3152594566345215
80	1000	5	7	2-approval	1	True	(1,)	29.19931954108051	29.199319541080158	0	0.11209702491760254	0.012375116348266602	0.060851335525512695	0.31607651710510254
80	1000	5	7	Borda	1	True	(1,)	41473.0	41179.0	19	0.11185240745544434	0.011704206466674805	0.2875049114227295	0.9397313594818115
80	1000	10	3	Plurality	1	True	(78,)	14.45159146409146	14.451591464091454	0	0.14200067520141602	0.0123291015625	0.029044151306152344	0.3322567939758301
80	1000	10	3	2-approval	1	True	(78,)	29.703182928183143	28.70318292818291	3	0.1407606601715088	0.012137651443481445	0.028319597244262695	0.32866692543029785
80	1000	10	3	Borda	1	True	(36,)	40924.0	40860.0	7	0.1432819366455078	0.011239051818847656	0.27651262283325195	0.9525108337402344
40	1000	5	6	Plurality	1	True	(5,)	28.74175824175813	28.741758241758234	2	0.05581521987915039	0.006771564483642578	0.0209348201751709	0.1472921371459961
40	1000	5	6	2-approval	1	True	(5,)	57.48351648351676	57.48351648351647	5	0.05566692352294922	0.006618022918701172	0.020522594451904297	0.1459674835205078
40	1000	5	6	Borda	1	True	(32,)	20499.0	20213.0	38	0.05649256706237793	0.006536722183227539	0.10443329811096191	0.3407008647918701
20	1000	5	9	Plurality	1	True	(11,)	57.46666666666641	56.466666666666754	5	0.027708768844604492	0.003659486770629883	0.008397340774536133	0.07126808166503906
20	1000	5	9	2-approval	1	True	(11,)	115.39523809523807	111.39523809523827	23	0.028278589248657227	0.003290891647338867	0.008124351501464844	0.0705418586730957
20	1000	5	9	Borda	1	True	(18,)	9920.0	9803.0	33	0.02772355079650879	0.0038242340087890625	0.04303598403930664	0.13939142227172852
80	1000	5	0	Plurality	1	True	(40,)	15.417562054936448	15.417562054936512	2	0.11159944534301758	0.012555837631225586	0.06023836135864258	0.3141603469848633
80	1000	5	0	2-approval	1	True	(40,)	31.724012998762277	30.724012998761914	4	0.11184310913085938	0.01227712631225586	0.05937671661376953	0.3130619525909424
80	1000	5	0	Borda	1	True	(40,)	42455.0	41389.0	67	0.11195874214172363	0.011429548263549805	0.279097318649292	0.9099106788635254
80	1000	5	9	Plurality	1	True	(56,)	14.375172285164075	14.375172285163856	1	0.11195492744445801	0.012547969818115234	0.06112957000732422	0.3168973922729492
80	1000	5	9	2-approval	1	True	(56,)	28.750344570327847	28.750344570327712	1	0.11287879943847656	0.012422561645507812	0.060918331146240234	0.3176429271697998
80	1000	5	9	Borda	1	True	(28,)	40960.5	40898.5	5	0.1115102767944336	0.01214289665222168	0.2981417179107666	0.9692525863647461
