m	n	num_buckets	batch	rule	winners	winner_score	t_baseline_sec
10	100	5	3	Plurality	(9,)	12.950000000000001	0.002984762191772461
10	100	5	3	2-approval	(3,)	26.416666666666668	0.0027976036071777344
10	100	5	3	Borda	(3,)	489.5	0.003293275833129883
80	1000	10	2	Plurality	(66,)	15.985393772893767	0.36849284172058105
80	1000	10	2	2-approval	(66,)	31.970787545787534	0.37270426750183105
80	1000	10	2	Borda	(3,)	41067.5	0.7684664726257324
40	1000	5	5	Plurality	(39,)	28.20348262848261	0.13967418670654297
40	1000	5	5	2-approval	(39,)	56.40696525696522	0.1415858268737793
40	1000	5	5	Borda	(18,)	20220.0	0.23193907737731934
20	1000	5	5	Plurality	(9,)	58.37817460317467	0.0595395565032959
20	1000	5	5	2-approval	(9,)	115.24365079365094	0.060453176498413086
20	1000	5	5	Borda	(9,)	9889.0	0.08159184455871582
80	1000	20	6	Plurality	(30,)	16.4063492063492	0.39729976654052734
80	1000	20	6	2-approval	(32,)	31.69484126984126	0.4035155773162842
80	1000	20	6	Borda	(55,)	41287.0	0.8040194511413574
10	1000	5	2	Plurality	(5,)	111.18333333333322	0.02703380584716797
10	1000	5	2	2-approval	(5,)	223.61666666666656	0.02769923210144043
10	1000	5	2	Borda	(5,)	4710.0	0.032555341720581055
10	10000	5	3	Plurality	(0,)	1042.683333333342	0.2713172435760498
10	10000	5	3	2-approval	(0,)	2058.5666666666807	0.2784764766693115
10	10000	5	3	Borda	(0,)	45327.5	0.32669854164123535
80	1000	10	4	Plurality	(77,)	15.664729714729706	0.3691110610961914
80	1000	10	4	2-approval	(77,)	31.329459429459412	0.37279725074768066
80	1000	10	4	Borda	(55,)	42649.5	0.7702252864837646
40	1000	5	7	Plurality	(18,)	28.275391275391257	0.1383821964263916
40	1000	5	7	2-approval	(18,)	56.550782550782515	0.14067435264587402
40	1000	5	7	Borda	(7,)	20103.0	0.23549675941467285
80	1000	20	8	Plurality	(41,)	17.89087301587301	0.40067052841186523
80	1000	20	8	2-approval	(41,)	34.031746031746025	0.4049224853515625
80	1000	20	8	Borda	(42,)	41050.0	0.8039665222167969
10	1000	5	4	Plurality	(8,)	106.6499999999999	0.030115127563476562
10	1000	5	4	2-approval	(8,)	214.48333333333323	0.02828836441040039
10	1000	5	4	Borda	(8,)	4671.5	0.03265023231506348
10	10000	5	5	Plurality	(8,)	1022.3166666666758	0.27033567428588867
10	10000	5	5	2-approval	(7,)	2027.3166666666775	0.2736682891845703
10	10000	5	5	Borda	(7,)	45359.0	0.32718515396118164
80	1000	10	6	Plurality	(2,)	15.792324342324324	0.3718860149383545
80	1000	10	6	2-approval	(2,)	31.58464868464865	0.3772587776184082
80	1000	10	6	Borda	(34,)	41610.5	0.7655198574066162
40	1000	5	0	Plurality	(16,)	28.288587801087775	0.13949084281921387
40	1000	5	0	2-approval	(16,)	56.57717560217555	0.13934540748596191
40	1000	5	0	Borda	(29,)	20158.5	0.23331332206726074
40	1000	5	9	Plurality	(12,)	27.546425796425787	0.13802647590637207
40	1000	5	9	2-approval	(12,)	55.092851592851574	0.14338159561157227
40	1000	5	9	Borda	(21,)	20171.0	0.23378252983093262
20	1000	5	0	Plurality	(19,)	55.22500000000008	0.06040382385253906
20	1000	5	0	2-approval	(19,)	112.80000000000018	0.06072425842285156
20	1000	5	0	Borda	(19,)	9930.5	0.08100438117980957
80	1000	20	1	Plurality	(10,)	19.071428571428562	0.39790773391723633
80	1000	20	1	2-approval	(10,)	35.809523809523796	0.4036829471588135
80	1000	20	1	Borda	(71,)	41296.5	0.7929785251617432
10	1000	5	6	Plurality	(8,)	113.5666666666665	0.027346372604370117
10	1000	5	6	2-approval	(9,)	217.51666666666657	0.028644561767578125
10	1000	5	6	Borda	(8,)	4596.5	0.03270101547241211
10	10000	5	7	Plurality	(2,)	1038.766666666675	0.2715578079223633
10	10000	5	7	2-approval	(2,)	2075.500000000011	0.27429842948913574
10	10000	5	7	Borda	(2,)	45633.0	0.3231699466705322
80	1000	10	8	Plurality	(59,)	15.671830946830937	0.36926913261413574
80	1000	10	8	2-approval	(59,)	31.343661893661874	0.37508058547973633
80	1000	10	8	Borda	(28,)	41361.0	0.7643046379089355
40	1000	5	2	Plurality	(19,)	28.906083214171428	0.14039063453674316
40	1000	5	2	2-approval	(19,)	57.812166428342856	0.1426832675933838
40	1000	5	2	Borda	(19,)	20057.0	0.2331538200378418
10	10000	5	0	Plurality	(5,)	1028.883333333344	0.2700357437133789
10	10000	5	0	2-approval	(5,)	2060.3666666666804	0.2735741138458252
10	10000	5	0	Borda	(1,)	45437.5	0.3240170478820801
80	1000	5	5	Plurality	(36,)	14.41345325369596	0.3657712936401367
80	1000	5	5	2-approval	(36,)	28.82690650739192	0.3701508045196533
80	1000	5	5	Borda	(36,)	40911.0	0.75490403175354
80	1000	10	1	Plurality	(29,)	15.168814518814507	0.3706357479095459
80	1000	10	1	2-approval	(29,)	30.337629037629014	0.37354564666748047
80	1000	10	1	Borda	(56,)	41130.5	0.7639501094818115
10	100	5	5	Plurality	(7,)	14.533333333333335	0.002855062484741211
10	100	5	5	2-approval	(7,)	27.066666666666666	0.0028488636016845703
10	100	5	5	Borda	(7,)	508.0	0.003346681594848633
40	1000	5	4	Plurality	(5,)	29.212065712065705	0.13923931121826172
40	1000	5	4	2-approval	(5,)	58.42413142413141	0.1407935619354248
40	1000	5	4	Borda	(5,)	20289.5	0.23270368576049805
20	1000	5	7	Plurality	(13,)	59.71785714285721	0.058829307556152344
20	1000	5	7	2-approval	(13,)	117.21904761904779	0.06031298637390137
20	1000	5	7	Borda	(13,)	9848.0	0.08403682708740234
80	1000	5	7	Plurality	(1,)	14.599659770540086	0.3619997501373291
80	1000	5	7	2-approval	(1,)	29.199319541080172	0.370603084564209
80	1000	5	7	Borda	(1,)	41326.0	0.7656881809234619
80	1000	10	3	Plurality	(78,)	14.451591464091454	0.3700242042541504
80	1000	10	3	2-approval	(78,)	28.903182928182908	0.3795151710510254
80	1000	10	3	Borda	(36,)	40892.0	0.7670726776123047
10	100	5	7	Plurality	(0,)	14.083333333333334	0.002810955047607422
10	100	5	7	2-approval	(9,)	27.416666666666664	0.002794504165649414
10	100	5	7	Borda	(9,)	496.5	0.00331878662109375
40	1000	5	6	Plurality	(5,)	28.741758241758216	0.13778996467590332
40	1000	5	6	2-approval	(5,)	57.48351648351643	0.14142227172851562
40	1000	5	6	Borda	(32,)	20356.0	0.23478198051452637
20	1000	5	9	Plurality	(11,)	56.666666666666764	0.05921149253845215
20	1000	5	9	2-approval	(11,)	113.19523809523828	0.060201168060302734
20	1000	5	9	Borda	(18,)	9861.5	0.08191227912902832
80	1000	5	0	Plurality	(40,)	15.417562054936509	0.3636810779571533
80	1000	5	0	2-approval	(40,)	30.835124109873018	0.3688991069793701
80	1000	5	0	Borda	(40,)	41922.0	0.7644221782684326
80	1000	5	9	Plurality	(56,)	14.37517228516386	0.36736130714416504
80	1000	5	9	2-approval	(56,)	28.75034457032772	0.37131404876708984
80	1000	5	9	Borda	(28,)	40929.5	0.7548408508300781
10	100	5	0	Plurality	(0,)	14.083333333333336	0.0028030872344970703
10	100	5	0	2-approval	(6,)	25.41666666666667	0.002855062484741211
10	100	5	0	Borda	(2,)	497.5	0.0032510757446289062
10	100	5	9	Plurality	(4,)	11.833333333333334	0.002789735794067383
10	100	5	9	2-approval	(7,)	26.25	0.002798318862915039
10	100	5	9	Borda	(7,)	506.0	0.0032606124877929688
