m	n	num_buckets	batch	rule	threads	grouping	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
10	100	5	3	Plurality	1	True	(9,)	14.050000000000006	13.049999999999999	7	0.0015959739685058594	0.00025010108947753906	0.0010886192321777344	0.004638671875
10	100	5	3	2-approval	1	True	(3,)	23.88888888888887	23.888888888888875	0	0.0013911724090576172	0.00021266937255859375	0.0011839866638183594	0.0044384002685546875
10	100	5	3	Borda	1	True	(3,)	480.3611111111108	480.3611111111111	0	0.0013718605041503906	0.00029540061950683594	0.004433631896972656	0.00886678695678711
10	100	5	5	Plurality	1	True	(7,)	14.566666666666663	13.566666666666666	2	0.0013833045959472656	0.0002186298370361328	0.0009083747863769531	0.004066944122314453
10	100	5	5	2-approval	1	True	(7,)	26.362962962962957	26.362962962962957	5	0.0013670921325683594	0.00019741058349609375	0.0009951591491699219	0.004058122634887695
10	100	5	5	Borda	1	True	(7,)	502.53333333333353	484.5333333333336	11	0.0013954639434814453	0.0002734661102294922	0.003766298294067383	0.007991313934326172
10	100	5	7	Plurality	1	True	(9,)	13.383333333333331	13.383333333333333	7	0.0013506412506103516	0.00023031234741210938	0.0009920597076416016	0.004129171371459961
10	100	5	7	2-approval	1	True	(9,)	27.85555555555556	25.855555555555554	8	0.0013687610626220703	0.00020432472229003906	0.001008749008178711	0.004063844680786133
10	100	5	7	Borda	1	True	(9,)	494.6555555555555	486.6555555555556	6	0.0013570785522460938	0.00029206275939941406	0.0039136409759521484	0.008195877075195312
10	100	5	0	Plurality	1	True	(0,)	14.599999999999996	13.6	1	0.001374959945678711	0.00022745132446289062	0.0009014606475830078	0.004059553146362305
10	100	5	0	2-approval	1	True	(2,)	24.988888888888876	24.988888888888884	2	0.0013659000396728516	0.00022220611572265625	0.001010894775390625	0.004145383834838867
10	100	5	0	Borda	1	True	(2,)	507.8083333333333	487.8083333333333	12	0.0013573169708251953	0.0002753734588623047	0.003756284713745117	0.007924795150756836
10	100	5	9	Plurality	1	True	(7,)	13.64166666666668	12.641666666666664	3	0.0013744831085205078	0.00022339820861816406	0.0009145736694335938	0.004113674163818359
10	100	5	9	2-approval	1	True	(7,)	29.198148148148153	24.198148148148142	20	0.0013613700866699219	0.0001811981201171875	0.0009789466857910156	0.0039136409759521484
10	100	5	9	Borda	1	True	(7,)	543.715277777778	498.7152777777777	18	0.0013756752014160156	0.0002338886260986328	0.003297090530395508	0.007138729095458984
10	100	5	2	Plurality	1	True	(1,)	13.208333333333341	13.20833333333333	3	0.0013916492462158203	0.0002231597900390625	0.0009255409240722656	0.004136323928833008
10	100	5	2	2-approval	1	True	(1,)	24.28333333333335	23.28333333333332	3	0.0013575553894042969	0.00021886825561523438	0.0012252330780029297	0.0044705867767333984
10	100	5	2	Borda	1	True	(1,)	485.78888888888895	477.7888888888888	4	0.001522064208984375	0.0003256797790527344	0.0049860477447509766	0.0101470947265625
10	100	5	4	Plurality	1	True	(2,)	20.35000000000001	14.35	16	0.001355886459350586	0.00019860267639160156	0.0007984638214111328	0.003742218017578125
10	100	5	4	2-approval	1	True	(2,)	35.38333333333333	27.383333333333326	26	0.0014159679412841797	0.0001621246337890625	0.0007977485656738281	0.0036163330078125
10	100	5	4	Borda	1	True	(2,)	501.6388888888891	481.6388888888889	8	0.001440286636352539	0.0002677440643310547	0.00392460823059082	0.008272886276245117
10	100	5	6	Plurality	1	True	(9,)	13.350000000000012	13.35	0	0.0013539791107177734	0.00021600723266601562	0.0008120536804199219	0.003953456878662109
10	100	5	6	2-approval	1	True	(4,)	26.394444444444442	25.39444444444444	1	0.0015196800231933594	0.00024628639221191406	0.0012469291687011719	0.0048367977142333984
10	100	5	6	Borda	1	True	(4,)	526.6519841269843	506.65198412698413	7	0.0013871192932128906	0.00025844573974609375	0.0034618377685546875	0.007486581802368164
10	100	5	8	Plurality	1	True	(9,)	17.466666666666665	14.466666666666669	13	0.0013892650604248047	0.00019097328186035156	0.0007443428039550781	0.003755331039428711
10	100	5	8	2-approval	1	True	(9,)	28.016666666666662	26.016666666666662	8	0.001392364501953125	0.00018358230590820312	0.0009129047393798828	0.003893136978149414
10	100	5	8	Borda	1	True	(9,)	523.1763888888887	493.1763888888888	14	0.0013926029205322266	0.0002467632293701172	0.003387928009033203	0.007352352142333984
10	100	5	1	Plurality	1	True	(3,)	15.683333333333332	14.683333333333337	3	0.0013642311096191406	0.00021886825561523438	0.0008730888366699219	0.0039904117584228516
10	100	5	1	2-approval	1	True	(2,)	28.444444444444446	25.444444444444432	13	0.001354217529296875	0.00020694732666015625	0.0010979175567626953	0.004126548767089844
10	100	5	1	Borda	1	True	(3,)	480.2097222222226	480.20972222222207	0	0.0013720989227294922	0.00028777122497558594	0.004013538360595703	0.008414745330810547
80	1000	10	2	Plurality	1	True	(29,)	15.158138701576032	15.158138701576192	0	0.13482284545898438	0.013149261474609375	0.30315279960632324	0.6072626113891602
80	1000	10	2	2-approval	1	True	(75,)	30.345183843056017	30.345183843055622	0	0.1354842185974121	0.012835025787353516	0.2928025722503662	0.5972259044647217
80	1000	10	2	Borda	1	True	(60,)	40997.58605911682	40988.586059116846	1	0.13746857643127441	0.013055801391601562	2.6079630851745605	3.3635573387145996
40	1000	5	5	Plurality	1	True	(39,)	27.792978271728003	27.79297827172819	0	0.05174899101257324	0.007478952407836914	0.21021723747253418	0.3401925563812256
40	1000	5	5	2-approval	1	True	(33,)	55.5998215673228	55.59982156732143	0	0.05139327049255371	0.007281303405761719	0.20763587951660156	0.3364684581756592
40	1000	5	5	Borda	1	True	(8,)	20099.013273492652	20002.013273492652	6	0.051726341247558594	0.007600069046020508	0.9477300643920898	1.2026150226593018
20	1000	5	5	Plurality	1	True	(9,)	62.590912698414044	57.59091269841253	8	0.02643108367919922	0.004247188568115234	0.041152238845825195	0.10605359077453613
20	1000	5	5	2-approval	1	True	(9,)	120.27129908103689	112.27129908103558	21	0.026140213012695312	0.004166841506958008	0.0436403751373291	0.1081533432006836
20	1000	5	5	Borda	1	True	(9,)	10047.015183178524	9854.015183178542	26	0.026587247848510742	0.004418134689331055	0.18572139739990234	0.28737306594848633
80	1000	20	6	Plurality	1	True	(30,)	16.189062500000077	16.189062499999988	1	0.19403982162475586	0.01266932487487793	0.09506106376647949	0.5005261898040771
80	1000	20	6	2-approval	1	True	(32,)	32.59272930480219	31.592729304802063	2	0.2033679485321045	0.01227879524230957	0.09888291358947754	0.5119926929473877
80	1000	20	6	Borda	1	True	(55,)	41546.8338885472	41281.8338885472	41	0.19563746452331543	0.011424779891967773	1.294564962387085	2.0571701526641846
10	1000	5	2	Plurality	1	True	(5,)	112.22166666666664	108.22166666666655	19	0.015320539474487305	0.0026483535766601562	0.01190805435180664	0.04979658126831055
10	1000	5	2	2-approval	1	True	(5,)	224.67444444444317	214.67444444444436	31	0.013544321060180664	0.0021517276763916016	0.011890888214111328	0.044605255126953125
10	1000	5	2	Borda	1	True	(5,)	4837.273412698423	4670.273412698418	66	0.01359868049621582	0.0026726722717285156	0.041416168212890625	0.08541226387023926
80	1000	10	4	Plurality	1	True	(77,)	16.388630570817877	16.388630570818055	0	0.13776063919067383	0.013005733489990234	0.30190062522888184	0.6087336540222168
80	1000	10	4	2-approval	1	True	(77,)	35.29710241147775	32.29710241147738	8	0.13594818115234375	0.012833833694458008	0.2983970642089844	0.6025586128234863
80	1000	10	4	Borda	1	True	(55,)	42280.46371088132	41229.46371088132	48	0.1364130973815918	0.012523889541625977	2.4384217262268066	3.1625211238861084
40	1000	5	7	Plurality	1	True	(21,)	27.253303328615495	27.25330332861574	0	0.05161428451538086	0.007404327392578125	0.2133173942565918	0.34346628189086914
40	1000	5	7	2-approval	1	True	(21,)	54.506606657232616	54.50660665723148	0	0.05194902420043945	0.007407426834106445	0.21085166931152344	0.34085512161254883
40	1000	5	7	Borda	1	True	(35,)	20331.481352123723	20174.48135212373	10	0.05179262161254883	0.00752711296081543	0.938159704208374	1.1903915405273438
80	1000	20	8	Plurality	1	True	(35,)	17.458139880952476	17.45813988095237	0	0.20055413246154785	0.01244044303894043	0.0957953929901123	0.5065293312072754
80	1000	20	8	2-approval	1	True	(35,)	34.90185993068127	34.90185993068111	16	0.19628643989562988	0.011839866638183594	0.09466910362243652	0.49127650260925293
80	1000	20	8	Borda	1	True	(38,)	41161.41627135797	41153.41627135797	2	0.1953904628753662	0.011883735656738281	1.327848196029663	2.108914613723755
10	1000	5	4	Plurality	1	True	(9,)	110.74166666666649	107.74166666666655	22	0.014871835708618164	0.0022933483123779297	0.010102272033691406	0.04538583755493164
10	1000	5	4	2-approval	1	True	(6,)	208.3462962962948	208.34629629629612	0	0.013615608215332031	0.002290487289428711	0.012759208679199219	0.046872854232788086
10	1000	5	4	Borda	1	True	(8,)	4567.987103174597	4558.987103174595	5	0.01362156867980957	0.002864360809326172	0.04595327377319336	0.0928487777709961
80	1000	10	6	Plurality	1	True	(2,)	15.956967789155328	15.956967789155266	1	0.1359562873840332	0.012992143630981445	0.30002665519714355	0.6065971851348877
80	1000	10	6	2-approval	1	True	(2,)	31.913935578310905	31.913935578310532	8	0.13525009155273438	0.012720108032226562	0.2924220561981201	0.5938072204589844
80	1000	10	6	Borda	1	True	(34,)	41302.61432901493	41270.61432901495	2	0.13696074485778809	0.012834310531616211	2.4781429767608643	3.2148139476776123
40	1000	5	0	Plurality	1	True	(12,)	27.668713924963615	27.668713924963857	1	0.0510251522064209	0.007509708404541016	0.20946335792541504	0.3381173610687256
40	1000	5	0	2-approval	1	True	(12,)	55.33742784992892	55.337427849927714	1	0.05147218704223633	0.007307291030883789	0.2106316089630127	0.3399381637573242
40	1000	5	0	Borda	1	True	(29,)	20209.735817227607	20130.735817227633	4	0.05229306221008301	0.0075452327728271484	0.9387052059173584	1.1908860206604004
40	1000	5	9	Plurality	1	True	(12,)	27.532243520367874	27.53224352036846	1	0.0513758659362793	0.007379055023193359	0.2102510929107666	0.33954668045043945
40	1000	5	9	2-approval	1	True	(12,)	56.71747849372972	54.71747849372837	3	0.05171513557434082	0.007262229919433594	0.2097785472869873	0.33906054496765137
40	1000	5	9	Borda	1	True	(12,)	20407.542451828594	20178.54245182859	15	0.051552772521972656	0.007429838180541992	0.9351053237915039	1.1864268779754639
20	1000	5	0	Plurality	1	True	(17,)	54.71547619047702	54.71547619047607	1	0.026235580444335938	0.004353761672973633	0.043753862380981445	0.10884809494018555
20	1000	5	0	2-approval	1	True	(19,)	110.44169172932358	109.44169172932308	4	0.026230573654174805	0.004240989685058594	0.04625082015991211	0.11173868179321289
20	1000	5	0	Borda	1	True	(19,)	9909.689677105647	9764.689677105644	27	0.02623772621154785	0.0044362545013427734	0.1888902187347412	0.2919774055480957
80	1000	20	1	Plurality	1	True	(10,)	17.42741071428582	17.427410714285706	5	0.19665145874023438	0.012408256530761719	0.09027814865112305	0.4951293468475342
80	1000	20	1	2-approval	1	True	(50,)	35.98677215189883	33.98677215189873	8	0.19687986373901367	0.01187753677368164	0.09086275100708008	0.49054718017578125
80	1000	20	1	Borda	1	True	(64,)	41397.326870730314	41281.326870730314	18	0.1942915916442871	0.011583805084228516	1.3184912204742432	2.098536252975464
10	1000	5	6	Plurality	1	True	(8,)	112.86666666666689	109.86666666666662	16	0.013527631759643555	0.0022306442260742188	0.009544134140014648	0.042166709899902344
10	1000	5	6	2-approval	1	True	(0,)	217.38148148148028	214.3814814814812	7	0.01346898078918457	0.0021305084228515625	0.011905908584594727	0.0448760986328125
10	1000	5	6	Borda	1	True	(3,)	4616.1869047619075	4604.186904761903	2	0.013725757598876953	0.002825498580932617	0.0452880859375	0.09187150001525879
