m	n	tb_size	batch	rule	threads	grouping	winners	score_upper	score_lower	num_pruned_voters	t_quick_bounds_sec	t_pruning_sec	t_solver_sec	t_total_sec
80	100	5	0	Plurality	1	True	(57,)	6.0	6.0	100	0.0034389495849609375	5.5789947509765625e-05	0	0.0037992000579833984
80	100	5	0	2-approval	1	True	(57,)	7.0	7.0	100	0.0032775402069091797	3.218650817871094e-05	0	0.003524303436279297
80	100	5	0	Borda	1	True	(21,)	4292.5	4292.5	0	0.0033037662506103516	0.0012934207916259766	0.030011653900146484	0.07756376266479492
80	100	5	3	Plurality	1	True	(47,)	5.0	5.0	100	0.0032846927642822266	3.647804260253906e-05	0	0.003553628921508789
80	100	5	3	2-approval	1	True	(4, 53)	7.0	7.0	0	0.003309011459350586	3.647804260253906e-05	0	0.003429889678955078
80	100	5	3	Borda	1	True	(29,)	4433.5	4295.5	2	0.003317117691040039	0.0012814998626708984	0.029442548751831055	0.07663512229919434
80	100	5	6	Plurality	1	True	(10, 22, 37)	4.0	4.0	0	0.0033211708068847656	3.719329833984375e-05	0	0.003476381301879883
80	100	5	6	2-approval	1	True	(54,)	6.0	6.0	100	0.0032918453216552734	3.600120544433594e-05	0	0.003555774688720703
80	100	5	6	Borda	1	True	(49,)	4246.0	4246.0	0	0.0033147335052490234	0.0013248920440673828	0.029815196990966797	0.07784080505371094
80	100	5	9	Plurality	1	True	(34,)	6.0	6.0	100	0.0033142566680908203	3.3855438232421875e-05	0	0.0035598278045654297
80	100	5	9	2-approval	1	True	(34, 46)	7.0	7.0	0	0.0033104419708251953	3.24249267578125e-05	0	0.0034253597259521484
80	100	5	9	Borda	1	True	(46,)	4287.5	4218.5	1	0.003297567367553711	0.0013034343719482422	0.03001856803894043	0.07809710502624512
80	100	5	5	Plurality	1	True	(12, 26, 60)	4.0	4.0	0	0.0033261775970458984	3.6716461181640625e-05	0	0.0034799575805664062
80	100	5	5	2-approval	1	True	(26, 60)	6.0	6.0	0	0.0033152103424072266	3.695487976074219e-05	0	0.0034360885620117188
